   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java.ReachSafety-Java, SV-COMP25_runtime-exception
date:                    Sat, 2025-05-31 16:56:57 IST
tool:                    SPF Wednesday 27 November 2019 02:15:09 AM IST
tool executable:         ./jpf-sv-comp
options:
parallel runs:           8
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             1
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    ubuntu
os:                      Linux-6.8.0-60-generic-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 5 5600G with Radeon Graphics
- cores:                 12
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     29324.57472 MB
------------------------------------------------------------



SV-COMP25_assert_java.ReachSafety-Java
Run set 1 of 2 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       false                            1.94        1.95        None
jayhorn-recursive/Addition.yml                                                          true                           572.78      572.85        None
jayhorn-recursive/InfiniteLoop.yml                                                      false                            1.20        1.22        None
jayhorn-recursive/SatAckermann01.yml                                                    TIMEOUT                        900.99      913.52        None
jayhorn-recursive/SatAckermann02.yml                                                    TIMEOUT                        901.00      902.44        None
jayhorn-recursive/SatAckermann03.yml                                                    TIMEOUT                        901.01      902.40        None
jayhorn-recursive/SatAddition01.yml                                                     OUT OF MEMORY                  142.48      142.25        None
jayhorn-recursive/SatEvenOdd01.yml                                                      unknown                          2.03        2.15        None
jayhorn-recursive/SatFibonacci01.yml                                                    unknown                          1.39        1.48        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             1.56        1.58        None
jayhorn-recursive/SatFibonacci03.yml                                                    TIMEOUT                        901.02      902.04        None
jayhorn-recursive/SatGcd.yml                                                            OUT OF MEMORY                   67.18       67.03        None
jayhorn-recursive/SatHanoi01.yml                                                        TIMEOUT                        900.74      901.02        None
jayhorn-recursive/SatMccarthy91.yml                                                     TIMEOUT                        900.98      902.41        None
jayhorn-recursive/SatMultCommutative01.yml                                              TIMEOUT                        900.84      901.00        None
jayhorn-recursive/SatPrimes01.yml                                                       TIMEOUT                        900.60      901.01        None
jayhorn-recursive/UnsatAckermann01.yml                                                  false                            1.77        1.91        None
jayhorn-recursive/UnsatAddition01.yml                                                   false                            1.72        1.74        None
jayhorn-recursive/UnsatAddition02.yml                                                   true                           497.53      498.04        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    unknown                          1.87        1.99        None
