tool		SPF Thursday 21 August 2025 11:10:18 PM IST	SPF Thursday 21 August 2025 11:10:18 PM IST	SPF Thursday 21 August 2025 11:10:18 PM IST	SPF Thursday 21 August 2025 11:10:18 PM IST
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jayhorn-recursive/Ackermann01.yml	false	false	2.207078	2.3629248599991115	83.316736
jayhorn-recursive/Addition.yml	true	true	2.493558	2.6319085439990886	86.622208
jayhorn-recursive/InfiniteLoop.yml	false	false	2.153187	2.4626320080005826	78.585856
jayhorn-recursive/SatAckermann01.yml	true	true	19.787555	25.12864381700092	159.535104
jayhorn-recursive/SatAckermann02.yml	true	true	19.138802	23.4406794610004	158.220288
jayhorn-recursive/SatAckermann03.yml	true	true	19.512674	23.64445797299959	156.811264
jayhorn-recursive/SatAddition01.yml	true	true	2.440313	2.684109953999723	80.023552
jayhorn-recursive/SatEvenOdd01.yml	true	true	2.365368	2.513408808999884	79.650816
jayhorn-recursive/SatFibonacci01.yml	true	true	3.439557	4.183391959999426	103.067648
jayhorn-recursive/SatFibonacci02.yml	true	true	2.097826	2.303876140000284	53.948416
jayhorn-recursive/SatFibonacci03.yml	true	true	4.103644	5.2898745050006255	113.004544
jayhorn-recursive/SatGcd.yml	true	TIMEOUT	835.492756	931.0036510749997	134.299648
jayhorn-recursive/SatHanoi01.yml	true	true	8.552711	10.065330035999068	162.234368
jayhorn-recursive/SatMccarthy91.yml	true	true	102.932982	114.1511095700007	186.392576
jayhorn-recursive/SatMultCommutative01.yml	true	true	2.833077	3.677347181999721	80.769024
jayhorn-recursive/SatPrimes01.yml	true	unknown	474.890483	585.4227349299999	214.392832
jayhorn-recursive/UnsatAckermann01.yml	false	false	2.420592	2.8802312730003905	82.702336
jayhorn-recursive/UnsatAddition01.yml	false	false	2.323711	2.5546167259999493	78.581760
jayhorn-recursive/UnsatAddition02.yml	false	true	2.693641	3.0609508939996886	80.879616
jayhorn-recursive/UnsatEvenOdd01.yml	false	false	2.190834	2.540400675001365	78.639104
jayhorn-recursive/UnsatFibonacci01.yml	false	false	2.323293	2.932836360001602	80.130048
jayhorn-recursive/UnsatFibonacci02.yml	false	false	3.023612	3.5734257780004555	99.536896
jayhorn-recursive/UnsatMccarthy91.yml	false	false	2.234813	2.7430792979994294	79.462400
jbmc-regression/ArithmeticException1.yml	false	false	2.218706	2.439555360000668	78.413824
jbmc-regression/ArithmeticException5.yml	true	true	2.069638	2.6380789989998448	53.231616
jbmc-regression/ArithmeticException6.yml	false	false	2.335178	3.176862901998902	79.106048
jbmc-regression/ArrayIndexOutOfBoundsException1.yml	false	false	2.385577	3.268219166000563	79.351808
jbmc-regression/ArrayIndexOutOfBoundsException2.yml	false	false	2.309257	2.952319730999079	81.887232
jbmc-regression/ArrayIndexOutOfBoundsException3.yml	false	false	2.410436	3.1262476769989007	81.346560
jbmc-regression/BufferedReaderReadLine.yml	false	false	2.327351	2.5630175980004424	79.106048
jbmc-regression/CharSequenceBug.yml	false	false	2.29865	2.742517349000991	78.069760
jbmc-regression/CharSequenceToString.yml	true	false	2.240126	2.6358778630001325	78.856192
jbmc-regression/ClassCastException1.yml	false	false	2.05481	2.2173695330002374	53.452800
jbmc-regression/ClassCastException2.yml	true	true	1.963558	2.391091587000119	54.419456
jbmc-regression/ClassCastException3.yml	false	false	2.014745	2.5401992440001777	53.776384
jbmc-regression/Class_method1.yml	true	true	2.069447	2.3977928280000924	53.452800
jbmc-regression/Inheritance1.yml	true	true	2.162694	2.863131643000088	55.058432
jbmc-regression/NegativeArraySizeException1.yml	false	false	1.99332	2.453962221999973	53.071872
jbmc-regression/NegativeArraySizeException2.yml	false	false	2.201434	3.3262437350003893	53.698560
jbmc-regression/NullPointerException1.yml	true	true	2.049167	2.356684796999616	54.661120
jbmc-regression/NullPointerException2.yml	false	false	2.214627	2.882340951000515	52.645888
jbmc-regression/NullPointerException3.yml	false	false	2.011435	2.3045905140006653	54.730752
jbmc-regression/NullPointerException4.yml	false	false	2.111966	2.631697685999825	54.566912
jbmc-regression/RegexMatches01.yml	true	true	2.123954	2.45238527499896	54.558720
jbmc-regression/RegexMatches02.yml	false	true	2.289095	3.109160541000165	55.013376
jbmc-regression/RegexSubstitution01.yml	true	true	2.255383	3.041006433999428	56.762368
jbmc-regression/RegexSubstitution02.yml	false	unknown	2.194757	2.598409529999117	56.823808
jbmc-regression/RegexSubstitution03.yml	true	true	2.132327	2.362359493999975	52.932608
jbmc-regression/StaticCharMethods01.yml	true	true	2.030468	2.3476362399997015	53.137408
jbmc-regression/StaticCharMethods02.yml	false	false	2.264176	3.0303709609997895	79.126528
jbmc-regression/StaticCharMethods03.yml	false	false	2.398299	3.5655792119996477	79.904768
jbmc-regression/StaticCharMethods04.yml	false	false	2.101064	2.744284537000567	54.718464
jbmc-regression/StaticCharMethods05.yml	false	unknown	2.306617	2.844846748999771	53.813248
jbmc-regression/StaticCharMethods06.yml	true	true	2.38208	3.301364945000387	80.318464
jbmc-regression/StringBuilderAppend01.yml	true	true	2.214924	2.6775633500001277	53.477376
jbmc-regression/StringBuilderAppend02.yml	false	unknown	2.29438	2.5991153809991374	53.841920
jbmc-regression/StringBuilderCapLen01.yml	true	true	2.247117	2.8054778640016593	56.086528
jbmc-regression/StringBuilderCapLen02.yml	false	false	2.217555	2.73742884999956	57.135104
jbmc-regression/StringBuilderCapLen03.yml	false	unknown	2.140411	2.5989608469990344	54.960128
jbmc-regression/StringBuilderCapLen04.yml	false	unknown	2.017504	2.2967686030006007	53.846016
jbmc-regression/StringBuilderChars01.yml	true	true	2.13177	2.67141012600041	53.481472
jbmc-regression/StringBuilderChars02.yml	false	false	2.245624	3.028563943998961	57.962496
jbmc-regression/StringBuilderChars03.yml	false	unknown	2.052611	2.625809617999039	57.135104
jbmc-regression/StringBuilderChars04.yml	false	unknown	2.124311	2.766070822999609	54.870016
jbmc-regression/StringBuilderChars05.yml	false	unknown	2.153098	2.868489956999838	53.723136
jbmc-regression/StringBuilderChars06.yml	false	unknown	2.072401	2.233628089999911	54.714368
jbmc-regression/StringBuilderConstructors01.yml	true	unknown	2.279164	2.6840440630003286	78.655488
jbmc-regression/StringBuilderConstructors02.yml	false	unknown	2.229371	3.100579940000898	55.377920
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	2.152705	2.35150038699976	54.292480
jbmc-regression/StringBuilderInsertDelete02.yml	false	unknown	2.199434	2.688241324000046	54.398976
jbmc-regression/StringBuilderInsertDelete03.yml	false	unknown	2.180078	2.4972711480004364	53.891072
jbmc-regression/StringCompare01.yml	true	true	2.19678	2.922657570999945	53.088256
jbmc-regression/StringCompare02.yml	false	unknown	2.183118	2.7497742340001423	54.632448
jbmc-regression/StringCompare03.yml	false	unknown	2.149019	2.7780920389996027	53.415936
jbmc-regression/StringCompare04.yml	false	unknown	2.133962	2.6784410569998727	53.018624
jbmc-regression/StringCompare05.yml	false	false	2.108649	2.426218324000729	54.370304
jbmc-regression/StringConcatenation01.yml	true	false	2.411632	3.2146740059997683	58.023936
jbmc-regression/StringConcatenation02.yml	false	false	2.288675	3.1895494220007095	57.815040
jbmc-regression/StringConcatenation03.yml	false	false	2.341334	3.063183811000272	56.971264
jbmc-regression/StringConcatenation04.yml	false	false	2.472452	3.1998949959997844	57.905152
jbmc-regression/StringConstructors01.yml	true	true	2.233727	2.863388160998511	53.264384
jbmc-regression/StringConstructors02.yml	false	false	2.245745	2.3448952520011517	59.129856
jbmc-regression/StringConstructors03.yml	false	false	2.152544	2.6385085099991556	58.150912
jbmc-regression/StringConstructors04.yml	false	false	2.040065	2.7347705910015065	57.704448
jbmc-regression/StringConstructors05.yml	false	false	2.056316	2.5425452910003514	59.961344
jbmc-regression/StringContains01.yml	false	false	2.143365	2.2829727869993803	57.937920
jbmc-regression/StringContains02.yml	false	false	2.051547	2.318192144999557	57.204736
jbmc-regression/StringIndexMethods01.yml	true	true	2.115314	2.8840202689989383	54.812672
jbmc-regression/StringIndexMethods02.yml	false	false	2.244175	3.113058564000312	78.745600
jbmc-regression/StringIndexMethods03.yml	false	false	2.250127	2.6163566569994146	78.872576
jbmc-regression/StringIndexMethods04.yml	false	false	2.181032	2.9017579149985977	79.945728
jbmc-regression/StringIndexMethods05.yml	false	false	2.184819	2.6198188990001654	79.749120
jbmc-regression/StringMiscellaneous01.yml	true	true	2.289622	2.9937364569996134	53.665792
jbmc-regression/StringMiscellaneous02.yml	false	false	2.336263	2.870510161999846	78.995456
jbmc-regression/StringMiscellaneous03.yml	false	false	2.500348	3.456326491001164	80.228352
jbmc-regression/StringMiscellaneous04.yml	true	true	2.265434	3.213381194000249	53.014528
jbmc-regression/StringStartEnd01.yml	true	true	2.130324	2.628088587998718	53.477376
