   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java.ReachSafety-Java, SV-COMP25_runtime-exception
date:                    Wed, 2025-08-27 19:54:58 IST
tool:                    SPF Thursday 21 August 2025 11:10:18 PM IST
tool executable:         ./jpf-sv-comp
options:
parallel runs:           8
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             1
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    Desktop
os:                      Linux-6.8.0-65-generic-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 5 5600G with Radeon Graphics
- cores:                 12
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     29324.570624 MB
------------------------------------------------------------



SV-COMP25_assert_java.ReachSafety-Java
Run set 1 of 2 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       false                            2.21        2.36        None
jayhorn-recursive/Addition.yml                                                          true                             2.49        2.63        None
jayhorn-recursive/InfiniteLoop.yml                                                      false                            2.15        2.46        None
jayhorn-recursive/SatAckermann01.yml                                                    true                            19.79       25.13        None
jayhorn-recursive/SatAckermann02.yml                                                    true                            19.14       23.44        None
jayhorn-recursive/SatAckermann03.yml                                                    true                            19.51       23.64        None
jayhorn-recursive/SatAddition01.yml                                                     true                             2.44        2.68        None
jayhorn-recursive/SatEvenOdd01.yml                                                      true                             2.37        2.51        None
jayhorn-recursive/SatFibonacci01.yml                                                    true                             3.44        4.18        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             2.10        2.30        None
jayhorn-recursive/SatFibonacci03.yml                                                    true                             4.10        5.29        None
jayhorn-recursive/SatGcd.yml                                                            TIMEOUT                        835.49      931.00        None
jayhorn-recursive/SatHanoi01.yml                                                        true                             8.55       10.07        None
jayhorn-recursive/SatMccarthy91.yml                                                     true                           102.93      114.15        None
jayhorn-recursive/SatMultCommutative01.yml                                              true                             2.83        3.68        None
jayhorn-recursive/SatPrimes01.yml                                                       unknown                        474.89      585.42        None
jayhorn-recursive/UnsatAckermann01.yml                                                  false                            2.42        2.88        None
jayhorn-recursive/UnsatAddition01.yml                                                   false                            2.32        2.55        None
jayhorn-recursive/UnsatAddition02.yml                                                   true                             2.69        3.06        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    false                            2.19        2.54        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  false                            2.32        2.93        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  false                            3.02        3.57        None
