   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java, SV-COMP25_runtime-exception.RuntimeException-Java
date:                    Fri, 2025-08-15 01:52:31 IST
tool:                    SPF Monday 11 August 2025 06:41:43 PM IST
tool executable:         ./jpf-sv-comp
options:
parallel runs:           8
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             1
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    Desktop
os:                      Linux-6.8.0-65-generic-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 5 5600G with Radeon Graphics
- cores:                 12
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     29324.550144 MB
------------------------------------------------------------



SV-COMP25_assert_java
Run set 1 of 2: skipped because it has no files


SV-COMP25_runtime-exception.RuntimeException-Java
Run set 2 of 2 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       unknown                        350.22      350.47        None
jayhorn-recursive/Addition.yml                                                          true                             4.08        4.11        None
jayhorn-recursive/InfiniteLoop.yml                                                      TIMEOUT                        900.63      919.61        None
jayhorn-recursive/SatAckermann01.yml                                                    true                           274.72      275.37        None
jayhorn-recursive/SatAckermann02.yml                                                    true                           272.40      273.02        None
jayhorn-recursive/SatAckermann03.yml                                                    true                           277.49      277.94        None
jayhorn-recursive/SatAddition01.yml                                                     true                             4.10        4.11        None
jayhorn-recursive/SatEvenOdd01.yml                                                      unknown                          2.51        2.52        None
jayhorn-recursive/SatFibonacci01.yml                                                    true                            25.92       26.02        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             2.40        2.42        None
jayhorn-recursive/SatFibonacci03.yml                                                    true                            23.21       23.25        None
jayhorn-recursive/SatGcd.yml                                                            TIMEOUT                        900.61      901.00        None
jayhorn-recursive/SatHanoi01.yml                                                        true                           103.86      103.90        None
jayhorn-recursive/SatMccarthy91.yml                                                     true                           225.01      225.64        None
jayhorn-recursive/SatMultCommutative01.yml                                              true                             9.40        9.42        None
jayhorn-recursive/SatPrimes01.yml                                                       unknown                        323.29      323.42        None
jayhorn-recursive/UnsatAckermann01.yml                                                  TIMEOUT                        901.03      903.17        None
jayhorn-recursive/UnsatAddition01.yml                                                   unknown                          5.91        5.92        None
jayhorn-recursive/UnsatAddition02.yml                                                   true                             6.66        6.67        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    unknown                          3.20        3.22        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  unknown                         34.81       35.03        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  unknown                         35.22       35.34        None
jayhorn-recursive/UnsatMccarthy91.yml                                                   unknown                        184.53      184.91        None
jbmc-regression/ArithmeticException1.yml                                                unknown                          2.76        2.77        None
jbmc-regression/ArithmeticException5.yml                                                true                             2.47        2.50        None
jbmc-regression/ArithmeticException6.yml                                                unknown                          2.54        2.56        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                     unknown                          2.33        2.34        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                     unknown                          2.27        2.29        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                     unknown                          2.27        2.28        None
jbmc-regression/BufferedReaderReadLine.yml                                              unknown                          2.81        2.83        None
jbmc-regression/CharSequenceBug.yml                                                     unknown                          2.60        2.61        None
jbmc-regression/CharSequenceToString.yml                                                false                            2.54        2.56        None
jbmc-regression/ClassCastException1.yml                                                 unknown                          2.11        2.12        None
jbmc-regression/ClassCastException2.yml                                                 true                             2.07        2.09        None
jbmc-regression/ClassCastException3.yml                                                 unknown                          1.96        1.99        None
jbmc-regression/Class_method1.yml                                                       true                             2.06        2.07        None
jbmc-regression/Inheritance1.yml                                                        true                             2.32        2.36        None
jbmc-regression/NegativeArraySizeException1.yml                                         unknown                          2.25        2.27        None
jbmc-regression/NegativeArraySizeException2.yml                                         unknown                          2.02        2.03        None
jbmc-regression/NullPointerException1.yml                                               true                             2.06        2.08        None
jbmc-regression/NullPointerException2.yml                                               unknown                          2.33        2.34        None
jbmc-regression/NullPointerException3.yml                                               unknown                          2.24        2.25        None
jbmc-regression/NullPointerException4.yml                                               unknown                          1.97        1.99        None
jbmc-regression/RegexMatches01.yml                                                      true                             2.17        2.19        None
jbmc-regression/RegexMatches02.yml                                                      true                             2.19        2.21        None
jbmc-regression/RegexSubstitution01.yml                                                 true                             2.05        2.06        None
jbmc-regression/RegexSubstitution02.yml                                                 unknown                          2.29        2.30        None
jbmc-regression/RegexSubstitution03.yml                                                 true                             2.15        2.17        None
jbmc-regression/StaticCharMethods01.yml                                                 true                             2.13        2.16        None
jbmc-regression/StaticCharMethods02.yml                                                 unknown                          2.44        2.47        None
jbmc-regression/StaticCharMethods03.yml                                                 unknown                          2.37        2.39        None
jbmc-regression/StaticCharMethods04.yml                                                 unknown                          2.12        2.19        None
jbmc-regression/StaticCharMethods05.yml                                                 false                            2.35        2.37        None
jbmc-regression/StaticCharMethods06.yml                                                 true                             2.18        2.19        None
jbmc-regression/StringBuilderAppend01.yml                                               false                            2.05        2.07        None
jbmc-regression/StringBuilderAppend02.yml                                               unknown                          2.16        2.19        None
jbmc-regression/StringBuilderCapLen01.yml                                               true                             2.46        2.49        None
jbmc-regression/StringBuilderCapLen02.yml                                               false                            2.45        2.47        None
jbmc-regression/StringBuilderCapLen03.yml                                               unknown                          1.94        1.95        None
jbmc-regression/StringBuilderCapLen04.yml                                               unknown                          2.40        2.42        None
jbmc-regression/StringBuilderChars01.yml                                                true                             1.92        1.94        None
jbmc-regression/StringBuilderChars02.yml                                                false                            2.49        2.49        None
jbmc-regression/StringBuilderChars03.yml                                                unknown                          2.33        2.35        None
jbmc-regression/StringBuilderChars04.yml                                                unknown                          1.88        1.90        None
