   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java, SV-COMP25_runtime-exception.RuntimeException-Java
date:                    Fri, 2025-08-15 03:03:19 IST
tool:                    SPF Friday 15 August 2025 03:01:02 AM IST
tool executable:         ./jpf-sv-comp
options:
parallel runs:           8
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             1
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    Desktop
os:                      Linux-6.8.0-65-generic-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 5 5600G with Radeon Graphics
- cores:                 12
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     29324.550144 MB
------------------------------------------------------------



SV-COMP25_assert_java
Run set 1 of 2: skipped because it has no files


SV-COMP25_runtime-exception.RuntimeException-Java
Run set 2 of 2 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       unknown                          2.79        2.80        None
jayhorn-recursive/Addition.yml                                                          true                             3.64        3.67        None
jayhorn-recursive/InfiniteLoop.yml                                                      unknown                          1.72        1.75        None
jayhorn-recursive/SatAckermann01.yml                                                    true                           237.75      238.77        None
jayhorn-recursive/SatAckermann02.yml                                                    true                           241.67      243.08        None
jayhorn-recursive/SatAckermann03.yml                                                    true                           244.09      245.20        None
jayhorn-recursive/SatAddition01.yml                                                     true                             3.89        3.91        None
jayhorn-recursive/SatEvenOdd01.yml                                                      unknown                          2.46        2.48        None
jayhorn-recursive/SatFibonacci01.yml                                                    true                            17.77       18.55        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             2.19        2.20        None
jayhorn-recursive/SatFibonacci03.yml                                                    true                            21.73       22.39        None
jayhorn-recursive/SatGcd.yml                                                            TIMEOUT                        901.02      902.57        None
jayhorn-recursive/SatHanoi01.yml                                                        true                            96.38       97.22        None
jayhorn-recursive/SatMccarthy91.yml                                                     true                           220.67      221.62        None
jayhorn-recursive/SatMultCommutative01.yml                                              true                             5.94        5.96        None
jayhorn-recursive/SatPrimes01.yml                                                       unknown                        275.58      275.83        None
jayhorn-recursive/UnsatAckermann01.yml                                                  unknown                          2.30        2.32        None
jayhorn-recursive/UnsatAddition01.yml                                                   unknown                          2.74        2.76        None
jayhorn-recursive/UnsatAddition02.yml                                                   true                             5.12        5.13        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    unknown                          2.15        2.16        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  unknown                          3.20        3.21        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  unknown                          7.90        7.91        None
jayhorn-recursive/UnsatMccarthy91.yml                                                   unknown                          2.53        2.55        None
jbmc-regression/ArithmeticException1.yml                                                unknown                          2.14        2.16        None
jbmc-regression/ArithmeticException5.yml                                                true                             1.83        1.85        None
jbmc-regression/ArithmeticException6.yml                                                unknown                          2.13        2.14        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                     unknown                          2.15        2.15        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                     unknown                          2.24        2.25        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                     unknown                          2.24        2.25        None
jbmc-regression/BufferedReaderReadLine.yml                                              unknown                          2.49        2.52        None
jbmc-regression/CharSequenceBug.yml                                                     unknown                          2.26        2.28        None
jbmc-regression/CharSequenceToString.yml                                                true                             2.19        2.19        None
jbmc-regression/ClassCastException1.yml                                                 unknown                          1.81        1.83        None
jbmc-regression/ClassCastException2.yml                                                 true                             1.84        1.85        None
jbmc-regression/ClassCastException3.yml                                                 unknown                          1.88        1.89        None
jbmc-regression/Class_method1.yml                                                       true                             2.09        2.11        None
jbmc-regression/Inheritance1.yml                                                        true                             1.84        1.85        None
jbmc-regression/NegativeArraySizeException1.yml                                         unknown                          1.86        1.88        None
jbmc-regression/NegativeArraySizeException2.yml                                         unknown                          1.85        1.87        None
jbmc-regression/NullPointerException1.yml                                               true                             1.85        1.88        None
jbmc-regression/NullPointerException2.yml                                               unknown                          1.87        1.89        None
jbmc-regression/NullPointerException3.yml                                               unknown                          1.87        1.89        None
jbmc-regression/NullPointerException4.yml                                               unknown                          1.91        1.93        None
jbmc-regression/RegexMatches01.yml                                                      true                             1.85        1.87        None
jbmc-regression/RegexMatches02.yml                                                      true                             1.90        1.92        None
jbmc-regression/RegexSubstitution01.yml                                                 true                             2.38        2.40        None
jbmc-regression/RegexSubstitution02.yml                                                 unknown                          1.89        1.90        None
jbmc-regression/RegexSubstitution03.yml                                                 true                             1.89        1.91        None
jbmc-regression/StaticCharMethods01.yml                                                 true                             2.27        2.28        None
jbmc-regression/StaticCharMethods02.yml                                                 unknown                          2.28        2.30        None
jbmc-regression/StaticCharMethods03.yml                                                 unknown                          2.98        3.00        None
jbmc-regression/StaticCharMethods04.yml                                                 unknown                          1.81        1.83        None
jbmc-regression/StaticCharMethods05.yml                                                 false                            2.43        2.44        None
jbmc-regression/StaticCharMethods06.yml                                                 true                             2.34        2.36        None
jbmc-regression/StringBuilderAppend01.yml                                               true                             2.39        2.41        None
jbmc-regression/StringBuilderAppend02.yml                                               unknown                          1.86        1.87        None
jbmc-regression/StringBuilderCapLen01.yml                                               true                             1.78        1.79        None
jbmc-regression/StringBuilderCapLen02.yml                                               unknown                          2.75        2.76        None
jbmc-regression/StringBuilderCapLen03.yml                                               unknown                          1.84        1.86        None
jbmc-regression/StringBuilderCapLen04.yml                                               unknown                          2.33        2.34        None
jbmc-regression/StringBuilderChars01.yml                                                true                             1.89        1.90        None
jbmc-regression/StringBuilderChars02.yml                                                unknown                          2.72        2.72        None
jbmc-regression/StringBuilderChars03.yml                                                unknown                          1.85        1.86        None
jbmc-regression/StringBuilderChars04.yml                                                unknown                          1.84        1.85        None
jbmc-regression/StringBuilderChars05.yml                                                unknown                          2.35        2.37        None
jbmc-regression/StringBuilderChars06.yml                                                unknown                          1.98        2.02        None
jbmc-regression/StringBuilderConstructors01.yml                                         unknown                          2.74        2.76        None
jbmc-regression/StringBuilderConstructors02.yml                                         unknown                          1.82        1.84        None
jbmc-regression/StringBuilderInsertDelete01.yml                                         true                             2.48        2.50        None
jbmc-regression/StringBuilderInsertDelete02.yml                                         unknown                          1.83        1.85        None
jbmc-regression/StringBuilderInsertDelete03.yml                                         unknown                          1.85        1.86        None
jbmc-regression/StringCompare01.yml                                                     true                             2.33        2.34        None
jbmc-regression/StringCompare02.yml                                                     unknown                          1.76        1.78        None
