tool		SPF Tuesday 26 August 2025 03:16:19 AM IST	SPF Tuesday 26 August 2025 03:16:19 AM IST	SPF Tuesday 26 August 2025 03:16:19 AM IST	SPF Tuesday 26 August 2025 03:16:19 AM IST
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jayhorn-recursive/Ackermann01.yml	false	false	2.519645	2.668561847000092	112.001024
jayhorn-recursive/Addition.yml	true	true	3.678416	3.8276041640001495	115.941376
jayhorn-recursive/InfiniteLoop.yml	false	false	1.572284	1.7957716219998474	107.974656
jayhorn-recursive/SatAckermann01.yml	true	true	254.563959	254.8942427889997	177.733632
jayhorn-recursive/SatAckermann02.yml	true	true	252.220023	252.5021148599999	175.656960
jayhorn-recursive/SatAckermann03.yml	true	true	252.742887	253.05645609800013	180.662272
jayhorn-recursive/SatAddition01.yml	true	true	3.743249	3.8822816570000214	106.885120
jayhorn-recursive/SatEvenOdd01.yml	true	unknown	2.302923	2.437673805000486	101.535744
jayhorn-recursive/SatFibonacci01.yml	true	true	17.515314	17.5277503239995	136.024064
jayhorn-recursive/SatFibonacci02.yml	true	true	2.210464	2.2275349390001793	53.862400
jayhorn-recursive/SatFibonacci03.yml	true	true	24.897726	24.909283181999854	128.770048
jayhorn-recursive/SatGcd.yml	true	TIMEOUT	900.96701	901.0087970149998	172.818432
jayhorn-recursive/SatHanoi01.yml	true	true	118.047739	118.070315811	141.950976
jayhorn-recursive/SatMccarthy91.yml	true	true	225.794017	225.84285716999966	156.291072
jayhorn-recursive/SatMultCommutative01.yml	true	true	6.994048	7.008107516000564	129.593344
jayhorn-recursive/SatPrimes01.yml	true	unknown	207.038034	207.1825539880001	210.444288
jayhorn-recursive/UnsatAckermann01.yml	false	false	3.77599	3.793468371999552	115.077120
jayhorn-recursive/UnsatAddition01.yml	false	false	3.243917	3.251510312999926	100.552704
jayhorn-recursive/UnsatAddition02.yml	false	true	7.638066	7.6519199249996745	106.696704
jayhorn-recursive/UnsatEvenOdd01.yml	false	unknown	3.051914	3.0668905749998885	102.756352
jayhorn-recursive/UnsatFibonacci01.yml	false	false	5.29208	5.30875458599985	118.005760
jayhorn-recursive/UnsatFibonacci02.yml	false	false	12.817772	12.841013498999928	120.496128
jayhorn-recursive/UnsatMccarthy91.yml	false	false	3.566046	3.5827817789995606	114.593792
jbmc-regression/ArithmeticException1.yml	false	false	3.379023	3.3890492609998546	112.754688
jbmc-regression/ArithmeticException5.yml	true	true	2.64797	2.6607953049997377	55.263232
jbmc-regression/ArithmeticException6.yml	false	false	3.1014	3.1175123789998906	100.134912
jbmc-regression/ArrayIndexOutOfBoundsException1.yml	false	unknown	3.022785	3.0301131810001607	100.356096
jbmc-regression/ArrayIndexOutOfBoundsException2.yml	false	unknown	3.098291	3.120980423000219	111.996928
jbmc-regression/ArrayIndexOutOfBoundsException3.yml	false	unknown	2.84988	2.85630626999955	80.822272
jbmc-regression/BufferedReaderReadLine.yml	false	false	3.471282	3.482080765000319	114.176000
jbmc-regression/CharSequenceBug.yml	false	false	2.953064	2.967062599000201	101.830656
jbmc-regression/CharSequenceToString.yml	true	true	3.308545	3.313616454000112	102.072320
jbmc-regression/ClassCastException1.yml	false	false	2.499739	2.5119485539999005	54.157312
jbmc-regression/ClassCastException2.yml	true	true	2.548996	2.565025912999772	54.255616
jbmc-regression/ClassCastException3.yml	false	false	2.5484	2.562967136000225	54.583296
jbmc-regression/Class_method1.yml	true	true	2.632599	2.648003418999906	56.086528
jbmc-regression/Inheritance1.yml	true	true	2.642613	2.657220494000285	53.305344
jbmc-regression/NegativeArraySizeException1.yml	false	false	2.722296	2.744757206999566	54.894592
jbmc-regression/NegativeArraySizeException2.yml	false	false	2.595482	2.603621438999653	54.374400
jbmc-regression/NullPointerException1.yml	true	unknown	2.271644	2.285726488000364	53.198848
jbmc-regression/NullPointerException2.yml	false	false	2.440671	2.4514421419999053	53.923840
jbmc-regression/NullPointerException3.yml	false	false	2.309748	2.3322798729996066	56.352768
jbmc-regression/NullPointerException4.yml	false	false	2.333355	2.3467752449996624	53.739520
jbmc-regression/RegexMatches01.yml	true	true	2.550775	2.567094914000336	53.739520
jbmc-regression/RegexMatches02.yml	false	true	2.609013	2.622863815000528	56.516608
jbmc-regression/RegexSubstitution01.yml	true	true	2.677091	2.6842609570003333	58.306560
jbmc-regression/RegexSubstitution02.yml	false	unknown	2.654142	2.6589354789994104	55.832576
jbmc-regression/RegexSubstitution03.yml	true	true	2.466758	2.4705102989992156	55.660544
jbmc-regression/StaticCharMethods01.yml	true	true	2.341186	2.350708547999602	53.207040
jbmc-regression/StaticCharMethods02.yml	false	false	3.025029	3.032869600000595	100.007936
jbmc-regression/StaticCharMethods03.yml	false	false	3.338743	3.359791077999944	113.815552
jbmc-regression/StaticCharMethods04.yml	false	false	2.468649	2.4800546599999507	59.432960
jbmc-regression/StaticCharMethods05.yml	false	true	2.477514	2.491884721000133	58.142720
jbmc-regression/StaticCharMethods06.yml	true	true	2.816891	2.821230437999475	100.253696
jbmc-regression/StringBuilderAppend01.yml	true	true	2.596585	2.6060130460000437	56.229888
jbmc-regression/StringBuilderAppend02.yml	false	unknown	2.637558	2.652952938999988	55.857152
jbmc-regression/StringBuilderCapLen01.yml	true	true	2.590868	2.6081373840006563	58.654720
jbmc-regression/StringBuilderCapLen02.yml	false	false	3.071555	3.090243556999667	94.326784
jbmc-regression/StringBuilderCapLen03.yml	false	unknown	2.645497	2.669168105000608	59.080704
jbmc-regression/StringBuilderCapLen04.yml	false	unknown	2.53496	2.556938175999676	67.088384
jbmc-regression/StringBuilderChars01.yml	true	true	2.535718	2.5464265959999466	55.676928
jbmc-regression/StringBuilderChars02.yml	false	false	2.986974	3.002330444999643	93.704192
jbmc-regression/StringBuilderChars03.yml	false	false	3.034824	3.054702618999727	114.413568
jbmc-regression/StringBuilderChars04.yml	false	unknown	2.434049	2.451707490999979	53.137408
jbmc-regression/StringBuilderChars05.yml	false	unknown	2.437353	2.4521146639999643	55.922688
jbmc-regression/StringBuilderChars06.yml	false	unknown	2.562645	2.571244458000365	54.038528
jbmc-regression/StringBuilderConstructors01.yml	true	unknown	2.968027	2.9829909310001312	100.638720
jbmc-regression/StringBuilderConstructors02.yml	false	unknown	2.435413	2.4417529829997875	57.339904
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	2.592357	2.6175829540006816	57.573376
jbmc-regression/StringBuilderInsertDelete02.yml	false	unknown	2.458865	2.467933195000114	58.122240
jbmc-regression/StringBuilderInsertDelete03.yml	false	unknown	2.501374	2.525101438999627	53.551104
jbmc-regression/StringCompare01.yml	true	true	2.492222	2.5012704459995803	53.915648
jbmc-regression/StringCompare02.yml	false	unknown	2.438394	2.451032290000512	53.813248
jbmc-regression/StringCompare03.yml	false	unknown	2.533308	2.551846941999429	55.836672
jbmc-regression/StringCompare04.yml	false	unknown	2.423668	2.427958739999667	53.547008
jbmc-regression/StringCompare05.yml	false	false	2.555816	2.5729318859994237	57.761792
jbmc-regression/StringConcatenation01.yml	true	true	3.108389	3.114058014000875	81.768448
jbmc-regression/StringConcatenation02.yml	false	false	3.140878	3.157571246999396	95.150080
jbmc-regression/StringConcatenation03.yml	false	false	2.86113	2.8862660240001787	81.674240
jbmc-regression/StringConcatenation04.yml	false	false	3.03419	3.050353380999695	92.303360
jbmc-regression/StringConstructors01.yml	true	true	2.48331	2.5075901170002908	53.932032
jbmc-regression/StringConstructors02.yml	false	false	3.200821	3.224503335999543	91.103232
jbmc-regression/StringConstructors03.yml	false	false	2.863168	2.8690497320003487	81.920000
jbmc-regression/StringConstructors04.yml	false	false	3.221252	3.23572696500014	93.941760
jbmc-regression/StringConstructors05.yml	false	false	3.121166	3.134232551000423	92.868608
jbmc-regression/StringContains01.yml	false	false	3.091289	3.112156165999295	94.294016
jbmc-regression/StringContains02.yml	false	false	2.816739	2.826276276000499	81.092608
jbmc-regression/StringIndexMethods01.yml	true	true	2.627238	2.6396621280000545	54.226944
jbmc-regression/StringIndexMethods02.yml	false	false	3.120471	3.134155599999758	103.075840
jbmc-regression/StringIndexMethods03.yml	false	unknown	2.955081	2.9625363290006135	97.472512
jbmc-regression/StringIndexMethods04.yml	false	TIMEOUT	900.875089	901.0028612369997	500.940800
jbmc-regression/StringIndexMethods05.yml	false	unknown	2.916056	2.9401166779998675	97.071104
jbmc-regression/StringMiscellaneous01.yml	true	true	2.675565	2.6918961419996776	54.009856
jbmc-regression/StringMiscellaneous02.yml	false	false	3.202701	3.2174273149994406	117.071872
jbmc-regression/StringMiscellaneous03.yml	false	false	3.461872	3.4807505879998644	117.121024
jbmc-regression/StringMiscellaneous04.yml	true	true	2.609521	2.6345914249995985	53.092352
