tool		SPF Saturday 26 July 2025 04:22:44 AM IST	SPF Saturday 26 July 2025 04:22:44 AM IST	SPF Saturday 26 July 2025 04:22:44 AM IST	SPF Saturday 26 July 2025 04:22:44 AM IST
run set		SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jayhorn-recursive/Ackermann01.yml	true	false	2.217824	2.2222778289997223	78.442496
jayhorn-recursive/Addition.yml	true	true	2.381754	2.396288046999871	79.585280
jayhorn-recursive/InfiniteLoop.yml	true	false	1.674929	1.687809178999487	78.888960
jayhorn-recursive/SatAckermann01.yml	true	true	15.502614	16.6983664090003	153.194496
jayhorn-recursive/SatAckermann02.yml	true	true	15.608812	17.38314532200002	152.485888
jayhorn-recursive/SatAckermann03.yml	true	true	16.074432	18.103249507999863	157.433856
jayhorn-recursive/SatAddition01.yml	true	true	2.395922	2.417565626999931	80.158720
jayhorn-recursive/SatEvenOdd01.yml	true	true	2.312679	2.3241243100001157	79.286272
jayhorn-recursive/SatFibonacci01.yml	true	true	2.553714	2.592430503000287	96.501760
jayhorn-recursive/SatFibonacci02.yml	true	true	2.070448	2.0875206950004213	54.542336
jayhorn-recursive/SatFibonacci03.yml	true	true	3.802753	4.248284319999584	110.051328
jayhorn-recursive/SatGcd.yml	true	TIMEOUT	901.018834	902.7444476459996	146.280448
jayhorn-recursive/SatHanoi01.yml	true	true	8.601132	9.652780098000221	168.910848
jayhorn-recursive/SatMccarthy91.yml	true	true	73.640546	75.80258634300026	183.336960
jayhorn-recursive/SatMultCommutative01.yml	true	true	2.996528	3.2352403550003146	81.137664
jayhorn-recursive/SatPrimes01.yml	true	unknown	465.838895	468.86663541300004	217.903104
jayhorn-recursive/UnsatAckermann01.yml	true	false	2.660783	3.4236716180002986	79.454208
jayhorn-recursive/UnsatAddition01.yml	true	false	2.597103	2.709554439000385	78.823424
jayhorn-recursive/UnsatAddition02.yml	true	true	2.831428	2.9056432890001815	80.842752
jayhorn-recursive/UnsatEvenOdd01.yml	true	false	2.396752	2.407378394999796	78.536704
jayhorn-recursive/UnsatFibonacci01.yml	true	false	2.531649	2.549610093999945	79.376384
jayhorn-recursive/UnsatFibonacci02.yml	true	false	2.526227	2.54938344600032	90.529792
jayhorn-recursive/UnsatMccarthy91.yml	true	false	2.445813	2.501391130999764	82.980864
jbmc-regression/ArithmeticException1.yml	true	false	2.118469	2.140582267999889	78.049280
jbmc-regression/ArithmeticException5.yml	true	true	2.298545	2.3274188730001697	53.612544
jbmc-regression/ArithmeticException6.yml	true	false	2.252148	2.393122922000657	82.206720
jbmc-regression/ArrayIndexOutOfBoundsException1.yml	true	false	2.13082	2.1932163510000464	78.876672
jbmc-regression/ArrayIndexOutOfBoundsException2.yml	true	false	2.425307	2.5223608379992584	79.134720
jbmc-regression/ArrayIndexOutOfBoundsException3.yml	true	false	2.112498	2.1400438279997616	81.485824
jbmc-regression/BufferedReaderReadLine.yml	true	unknown	2.29497	2.323272841999824	57.290752
jbmc-regression/CharSequenceBug.yml	true	false	1.983429	2.0154123030006303	78.798848
jbmc-regression/CharSequenceToString.yml	true	unknown	2.077786	2.0958795480000845	58.114048
jbmc-regression/ClassCastException1.yml	true	false	1.854258	1.8766142169997693	55.050240
jbmc-regression/ClassCastException2.yml	true	true	2.094358	2.105627660999744	53.665792
jbmc-regression/ClassCastException3.yml	true	false	1.899419	1.9383592379999754	53.682176
jbmc-regression/Class_method1.yml	true	true	2.091225	2.1179409489996033	53.264384
jbmc-regression/Inheritance1.yml	true	true	1.865489	1.8838733689999572	54.128640
jbmc-regression/NegativeArraySizeException1.yml	true	false	1.891681	1.9129934789998515	53.866496
jbmc-regression/NegativeArraySizeException2.yml	true	false	2.155101	2.1770058339998286	53.129216
jbmc-regression/NullPointerException1.yml	true	true	1.870849	1.8962942019998081	53.854208
jbmc-regression/NullPointerException2.yml	true	false	2.185706	2.20564666700011	53.506048
jbmc-regression/NullPointerException3.yml	true	false	1.821389	1.8338495660000262	56.360960
jbmc-regression/NullPointerException4.yml	true	false	1.903668	1.9071252960002312	52.989952
jbmc-regression/RegexMatches01.yml	true	true	2.201761	2.2244115999992573	54.812672
jbmc-regression/RegexMatches02.yml	true	true	1.933264	1.9693668190002427	54.104064
jbmc-regression/RegexSubstitution01.yml	true	true	2.262655	2.291551919000085	54.583296
jbmc-regression/RegexSubstitution02.yml	true	unknown	1.797338	1.8075780849994771	54.067200
jbmc-regression/RegexSubstitution03.yml	true	true	1.840091	1.8640017309999166	54.280192
jbmc-regression/StaticCharMethods01.yml	true	true	1.751124	1.7778204790001837	52.850688
jbmc-regression/StaticCharMethods02.yml	true	unknown	2.21746	2.232866246999947	58.023936
jbmc-regression/StaticCharMethods03.yml	true	unknown	1.831901	1.8475104860008287	57.618432
jbmc-regression/StaticCharMethods04.yml	true	false	2.091566	2.1075581519999105	53.243904
jbmc-regression/StaticCharMethods05.yml	false	unknown	1.805581	1.8263225919999968	55.136256
jbmc-regression/StaticCharMethods06.yml	true	unknown	1.747701	1.7720356529998753	56.815616
jbmc-regression/StringBuilderAppend01.yml	true	unknown	2.21309	2.2338709069999823	54.730752
jbmc-regression/StringBuilderAppend02.yml	true	unknown	1.914637	1.925444394999431	54.403072
jbmc-regression/StringBuilderCapLen01.yml	true	true	1.804657	1.825651540999388	56.479744
jbmc-regression/StringBuilderCapLen02.yml	true	unknown	2.319586	2.3375473520000014	56.594432
jbmc-regression/StringBuilderCapLen03.yml	true	unknown	1.912426	1.9943043089997445	54.042624
jbmc-regression/StringBuilderCapLen04.yml	true	unknown	2.195324	2.3189931980004985	53.370880
jbmc-regression/StringBuilderChars01.yml	true	true	2.307568	2.4094517319999795	55.308288
jbmc-regression/StringBuilderChars02.yml	true	unknown	2.288722	2.4905682240005262	62.648320
jbmc-regression/StringBuilderChars03.yml	false	unknown	2.203004	2.2932317429995237	53.415936
jbmc-regression/StringBuilderChars04.yml	true	unknown	2.169882	2.3188071340000533	53.604352
jbmc-regression/StringBuilderChars05.yml	false	unknown	2.089437	2.1060929120003493	53.747712
jbmc-regression/StringBuilderChars06.yml	true	unknown	1.962972	1.9825843239996175	58.269696
jbmc-regression/StringBuilderConstructors01.yml	true	unknown	1.971316	1.9937383320002482	57.929728
jbmc-regression/StringBuilderConstructors02.yml	true	unknown	2.195213	2.2169620469994697	55.107584
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	2.001384	2.041644371000075	54.120448
jbmc-regression/StringBuilderInsertDelete02.yml	true	unknown	2.23295	2.265603700000611	53.235712
jbmc-regression/StringBuilderInsertDelete03.yml	true	unknown	2.020032	2.0248583799993867	53.813248
jbmc-regression/StringCompare01.yml	true	true	1.830626	1.852343526000368	53.526528
jbmc-regression/StringCompare02.yml	true	unknown	2.062457	2.0782743100007792	54.030336
jbmc-regression/StringCompare03.yml	true	unknown	1.762171	1.7910829709999234	53.264384
jbmc-regression/StringCompare04.yml	true	unknown	1.651823	1.654762412999844	54.001664
jbmc-regression/StringCompare05.yml	true	false	1.71388	1.7303393460006191	53.600256
jbmc-regression/StringConcatenation01.yml	true	unknown	2.176154	2.199488676999863	58.368000
jbmc-regression/StringConcatenation02.yml	true	unknown	1.730401	1.7546427650004262	57.544704
jbmc-regression/StringConcatenation03.yml	true	unknown	2.269348	2.283682422000311	58.847232
jbmc-regression/StringConcatenation04.yml	true	unknown	1.731357	1.7502437260000079	60.059648
jbmc-regression/StringConstructors01.yml	true	true	1.628098	1.6482438319999346	54.378496
jbmc-regression/StringConstructors02.yml	true	unknown	2.157345	2.167587077999997	57.380864
jbmc-regression/StringConstructors03.yml	true	unknown	1.748239	1.7824825050001891	57.438208
jbmc-regression/StringConstructors04.yml	true	unknown	2.254833	2.27492524399986	59.490304
jbmc-regression/StringConstructors05.yml	true	unknown	1.755928	1.768247999999403	57.819136
jbmc-regression/StringContains01.yml	true	unknown	1.731168	1.7439763610000227	57.397248
jbmc-regression/StringContains02.yml	true	unknown	1.722285	1.7484250159996009	57.221120
jbmc-regression/StringIndexMethods01.yml	true	true	2.104302	2.1215684270000565	53.526528
jbmc-regression/StringIndexMethods02.yml	true	false	1.760564	1.775012264999532	78.987264
jbmc-regression/StringIndexMethods03.yml	true	false	1.811339	1.821465681000518	79.089664
jbmc-regression/StringIndexMethods04.yml	true	false	2.30994	2.326240897000389	79.462400
jbmc-regression/StringIndexMethods05.yml	true	false	1.850085	1.8705593689992384	78.053376
jbmc-regression/StringMiscellaneous01.yml	true	true	2.255922	2.2811697979996097	53.399552
jbmc-regression/StringMiscellaneous02.yml	true	unknown	2.094836	2.1629636910001864	57.380864
jbmc-regression/StringMiscellaneous03.yml	false	unknown	2.081943	2.123538802999974	57.327616
jbmc-regression/StringMiscellaneous04.yml	true	true	2.276602	2.3097545139999056	54.288384
jbmc-regression/StringStartEnd01.yml	true	true	2.032779	2.1180862479995994	55.029760
jbmc-regression/StringStartEnd02.yml	true	unknown	2.23596	2.257738215000245	59.785216
jbmc-regression/StringStartEnd03.yml	true	unknown	1.966337	1.9850117579999278	59.162624
jbmc-regression/StringValueOf01.yml	true	true	1.928606	1.9456465980001667	54.931456
jbmc-regression/StringValueOf02.yml	false	false	1.783207	1.820210572999713	55.345152
jbmc-regression/StringValueOf03.yml	false	false	2.182404	2.209718351000447	56.352768
jbmc-regression/StringValueOf04.yml	true	unknown	1.898758	1.9247001220001039	57.372672
