tool		SPF Saturday 31 May 2025 06:50:59 PM IST	SPF Saturday 31 May 2025 06:50:59 PM IST	SPF Saturday 31 May 2025 06:50:59 PM IST	SPF Saturday 31 May 2025 06:50:59 PM IST
run set		SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jayhorn-recursive/Ackermann01.yml	true	false	2.021338	2.0410624329997518	82.104320
jayhorn-recursive/Addition.yml	true	true	2.177645	2.1844279149991053	92.921856
jayhorn-recursive/InfiniteLoop.yml	true	false	1.320981	1.3258122639999783	77.524992
jayhorn-recursive/SatAckermann01.yml	true	true	10.423256	10.42733768799917	156.598272
jayhorn-recursive/SatAckermann02.yml	true	true	10.625009	10.638518130001103	153.120768
jayhorn-recursive/SatAckermann03.yml	true	true	10.758899	10.773652245999983	155.795456
jayhorn-recursive/SatAddition01.yml	true	true	2.10865	2.115311503999692	82.202624
jayhorn-recursive/SatEvenOdd01.yml	true	true	2.01658	2.039499816000898	79.667200
jayhorn-recursive/SatFibonacci01.yml	true	true	2.184708	2.203306731000339	101.097472
jayhorn-recursive/SatFibonacci02.yml	true	true	1.735769	1.758565123000153	53.940224
jayhorn-recursive/SatFibonacci03.yml	true	true	3.643815	3.650046664999536	108.662784
jayhorn-recursive/SatGcd.yml	true	TIMEOUT	900.95149	901.003214241	175.521792
jayhorn-recursive/SatHanoi01.yml	true	true	7.536994	7.549078146999818	174.022656
jayhorn-recursive/SatMccarthy91.yml	true	true	53.366004	53.38753613699919	183.001088
jayhorn-recursive/SatMultCommutative01.yml	true	true	2.30402	2.3155303439998534	80.900096
jayhorn-recursive/SatPrimes01.yml	true	unknown	427.409061	427.5269036709997	218.562560
jayhorn-recursive/UnsatAckermann01.yml	true	false	1.941833	1.9648758969997289	79.323136
jayhorn-recursive/UnsatAddition01.yml	true	false	1.95342	1.971145007000814	81.707008
jayhorn-recursive/UnsatAddition02.yml	true	true	2.263656	2.267799458999434	80.523264
jayhorn-recursive/UnsatEvenOdd01.yml	true	false	1.426371	1.4370440729999245	78.540800
jayhorn-recursive/UnsatFibonacci01.yml	true	false	1.598107	1.618451598998945	92.827648
jayhorn-recursive/UnsatFibonacci02.yml	true	false	1.855527	1.8762489860000642	94.224384
jayhorn-recursive/UnsatMccarthy91.yml	true	false	1.96718	1.98934804000055	82.792448
jbmc-regression/ArithmeticException1.yml	true	false	1.424198	1.4366323320009542	79.413248
jbmc-regression/ArithmeticException5.yml	true	true	1.812979	1.829662976999316	54.353920
jbmc-regression/ArithmeticException6.yml	true	false	1.524528	1.542634323999664	89.034752
jbmc-regression/ArrayIndexOutOfBoundsException1.yml	true	false	1.458312	1.4812293489994772	80.871424
jbmc-regression/ArrayIndexOutOfBoundsException2.yml	true	false	2.005371	2.02826275499865	88.211456
jbmc-regression/ArrayIndexOutOfBoundsException3.yml	true	false	1.473404	1.4851782569985517	80.138240
jbmc-regression/BufferedReaderReadLine.yml	true	false	1.490395	1.5133371749998332	77.856768
jbmc-regression/CharSequenceBug.yml	true	false	1.426672	1.429619819000436	78.381056
jbmc-regression/CharSequenceToString.yml	true	false	1.940197	1.953391429000476	79.888384
jbmc-regression/ClassCastException1.yml	true	false	1.303975	1.3161940070003766	54.939648
jbmc-regression/ClassCastException2.yml	true	true	1.703584	1.723548033998668	54.317056
jbmc-regression/ClassCastException3.yml	true	false	1.374322	1.3864224939989072	52.600832
jbmc-regression/Class_method1.yml	true	true	1.35608	1.367783015999521	52.244480
jbmc-regression/Inheritance1.yml	true	true	1.812044	1.8278270219998376	53.874688
jbmc-regression/NegativeArraySizeException1.yml	true	false	1.362261	1.3816972880013054	53.301248
jbmc-regression/NegativeArraySizeException2.yml	true	false	1.709289	1.7225626409999677	55.488512
jbmc-regression/NullPointerException1.yml	true	true	1.342338	1.3588081300003978	53.800960
jbmc-regression/NullPointerException2.yml	true	false	1.336952	1.3597928500003036	55.189504
jbmc-regression/NullPointerException3.yml	true	false	1.369469	1.3904628269992827	54.546432
jbmc-regression/NullPointerException4.yml	true	false	1.813041	1.8359348400008457	53.985280
jbmc-regression/RegexMatches01.yml	true	true	1.31336	1.3264658790012618	53.817344
jbmc-regression/RegexMatches02.yml	true	true	1.396183	1.418170506000024	55.214080
jbmc-regression/RegexSubstitution01.yml	true	true	1.832581	1.8413242169990554	53.706752
jbmc-regression/RegexSubstitution02.yml	true	unknown	1.424516	1.4326198029993975	55.209984
jbmc-regression/RegexSubstitution03.yml	true	true	1.350685	1.3536269670003094	53.485568
jbmc-regression/StaticCharMethods01.yml	true	true	1.796669	1.8057903150001948	54.710272
jbmc-regression/StaticCharMethods02.yml	true	false	1.493412	1.5118919460001052	88.526848
jbmc-regression/StaticCharMethods03.yml	true	false	1.879729	1.90302960200097	78.970880
jbmc-regression/StaticCharMethods04.yml	true	false	1.35379	1.3740439800003514	53.784576
jbmc-regression/StaticCharMethods05.yml	false	unknown	1.437011	1.4401496259997657	54.996992
jbmc-regression/StaticCharMethods06.yml	true	true	1.472923	1.483629292999467	78.290944
jbmc-regression/StringBuilderAppend01.yml	true	true	1.90365	1.9069369770004414	53.456896
jbmc-regression/StringBuilderAppend02.yml	true	unknown	1.390836	1.3936762860012095	53.448704
jbmc-regression/StringBuilderCapLen01.yml	true	true	1.786875	1.8074552699999913	55.541760
jbmc-regression/StringBuilderCapLen02.yml	true	false	1.348901	1.3617698910002218	53.366784
jbmc-regression/StringBuilderCapLen03.yml	true	unknown	1.40184	1.4148756199992931	53.305344
jbmc-regression/StringBuilderCapLen04.yml	true	unknown	1.4008	1.4231762300005357	55.603200
jbmc-regression/StringBuilderChars01.yml	true	true	1.888516	1.907899283000006	62.828544
jbmc-regression/StringBuilderChars02.yml	true	false	1.423201	1.4405246369988163	56.778752
jbmc-regression/StringBuilderChars03.yml	false	unknown	1.752914	1.766167650999705	53.522432
jbmc-regression/StringBuilderChars04.yml	true	unknown	1.405208	1.4252202169991506	55.144448
jbmc-regression/StringBuilderChars05.yml	false	unknown	1.413069	1.4207198359999893	55.046144
jbmc-regression/StringBuilderChars06.yml	true	unknown	1.829634	1.8429320030008967	53.555200
jbmc-regression/StringBuilderConstructors01.yml	true	unknown	1.420811	1.433502670000962	79.261696
jbmc-regression/StringBuilderConstructors02.yml	true	unknown	1.300298	1.3225468969994836	54.820864
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	1.859105	1.8724385340010485	53.850112
jbmc-regression/StringBuilderInsertDelete02.yml	true	unknown	1.431072	1.4411439380000957	55.500800
jbmc-regression/StringBuilderInsertDelete03.yml	true	unknown	1.446371	1.4659700709999015	56.090624
jbmc-regression/StringCompare01.yml	true	true	1.391929	1.412329322000005	53.071872
jbmc-regression/StringCompare02.yml	true	unknown	1.8402	1.8482460800005356	53.534720
jbmc-regression/StringCompare03.yml	true	unknown	1.704581	1.7175095760012482	53.428224
jbmc-regression/StringCompare04.yml	true	unknown	1.31498	1.3267808370001148	56.377344
jbmc-regression/StringCompare05.yml	true	false	1.402301	1.4184025810009189	55.730176
jbmc-regression/StringConcatenation01.yml	true	false	1.458736	1.4715608499991504	54.640640
jbmc-regression/StringConcatenation02.yml	true	false	1.863741	1.8672085809994314	54.730752
jbmc-regression/StringConcatenation03.yml	true	false	1.470833	1.4892164339999	55.144448
jbmc-regression/StringConcatenation04.yml	true	false	1.856389	1.8784953539998241	56.496128
jbmc-regression/StringConstructors01.yml	true	true	1.311523	1.3233693649999623	53.145600
jbmc-regression/StringConstructors02.yml	true	false	1.334876	1.3378342320011143	55.136256
jbmc-regression/StringConstructors03.yml	true	false	1.38814	1.4012015990010696	54.296576
jbmc-regression/StringConstructors04.yml	true	false	1.882582	1.8954474090005533	54.243328
jbmc-regression/StringConstructors05.yml	true	false	1.385733	1.40601813000103	57.274368
jbmc-regression/StringContains01.yml	true	false	1.795679	1.8087608250007179	57.139200
jbmc-regression/StringContains02.yml	true	false	1.408902	1.4271910560000833	56.979456
jbmc-regression/StringIndexMethods01.yml	true	true	1.348207	1.3596947639998689	55.422976
jbmc-regression/StringIndexMethods02.yml	true	false	1.368454	1.3813883170005283	78.901248
jbmc-regression/StringIndexMethods03.yml	true	false	1.960324	1.9675817129991628	80.166912
jbmc-regression/StringIndexMethods04.yml	true	false	1.504197	1.5242772969995713	81.960960
jbmc-regression/StringIndexMethods05.yml	true	false	1.890754	1.9037692860001698	80.121856
jbmc-regression/StringMiscellaneous01.yml	true	true	1.442343	1.4622418589988229	56.774656
jbmc-regression/StringMiscellaneous02.yml	true	false	1.430012	1.4430843979989731	78.303232
jbmc-regression/StringMiscellaneous03.yml	false	false	1.474709	1.4879823770006624	79.736832
jbmc-regression/StringMiscellaneous04.yml	true	true	1.911107	1.9270576779999828	54.763520
jbmc-regression/StringStartEnd01.yml	true	true	1.331103	1.333963674998813	52.940800
jbmc-regression/StringStartEnd02.yml	true	false	1.844413	1.8670224729994516	56.823808
jbmc-regression/StringStartEnd03.yml	true	false	1.428833	1.446449715000199	56.619008
jbmc-regression/StringValueOf01.yml	true	true	1.364983	1.3776813329986908	53.329920
jbmc-regression/StringValueOf02.yml	false	false	1.436362	1.4475040119996265	55.189504
jbmc-regression/StringValueOf03.yml	false	false	1.903097	1.9156024639996758	53.161984
jbmc-regression/StringValueOf04.yml	true	false	1.772238	1.7917698540004494	54.239232
jbmc-regression/StringValueOf05.yml	true	false	1.539183	1.554087847998744	88.260608
