   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java, SV-COMP25_runtime-exception.RuntimeException-Java
date:                    Thu, 2025-08-07 02:58:00 IST
tool:                    SPF Thursday 07 August 2025 02:48:16 AM IST
tool executable:         ./jpf-sv-comp
options:
parallel runs:           8
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             1
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    Desktop
os:                      Linux-6.8.0-65-generic-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 5 5600G with Radeon Graphics
- cores:                 12
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     29324.562432 MB
------------------------------------------------------------



SV-COMP25_assert_java
Run set 1 of 2: skipped because it has no files


SV-COMP25_runtime-exception.RuntimeException-Java
Run set 2 of 2 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       unknown                          2.98        2.99        None
jayhorn-recursive/Addition.yml                                                          true                             3.61        3.62        None
jayhorn-recursive/InfiniteLoop.yml                                                      unknown                          1.50        1.54        None
jayhorn-recursive/SatAckermann01.yml                                                    true                           262.17      263.72        None
jayhorn-recursive/SatAckermann02.yml                                                    true                           257.06      258.70        None
jayhorn-recursive/SatAckermann03.yml                                                    true                           266.25      267.15        None
jayhorn-recursive/SatAddition01.yml                                                     true                             4.25        4.26        None
jayhorn-recursive/SatEvenOdd01.yml                                                      unknown                          2.67        2.68        None
jayhorn-recursive/SatFibonacci01.yml                                                    true                            16.10       16.11        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             2.24        2.26        None
jayhorn-recursive/SatFibonacci03.yml                                                    true                            24.59       24.59        None
jayhorn-recursive/SatGcd.yml                                                            TIMEOUT                        900.17      901.01        None
jayhorn-recursive/SatHanoi01.yml                                                        true                           115.81      115.84        None
jayhorn-recursive/SatMccarthy91.yml                                                     true                           223.88      225.50        None
jayhorn-recursive/SatMultCommutative01.yml                                              true                             7.14        7.16        None
jayhorn-recursive/SatPrimes01.yml                                                       unknown                        182.93      183.75        None
jayhorn-recursive/UnsatAckermann01.yml                                                  unknown                          3.13        3.13        None
jayhorn-recursive/UnsatAddition01.yml                                                   unknown                          3.31        3.32        None
jayhorn-recursive/UnsatAddition02.yml                                                   true                             7.59        7.60        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    unknown                          3.29        3.30        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  unknown                          4.66        4.68        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  unknown                         13.40       13.42        None
jayhorn-recursive/UnsatMccarthy91.yml                                                   unknown                          3.25        3.26        None
jbmc-regression/ArithmeticException1.yml                                                unknown                          3.40        3.41        None
jbmc-regression/ArithmeticException5.yml                                                true                             2.52        2.54        None
jbmc-regression/ArithmeticException6.yml                                                unknown                          3.09        3.10        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                     unknown                          3.01        3.01        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                     unknown                          3.37        3.38        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                     unknown                          2.93        2.94        None
jbmc-regression/BufferedReaderReadLine.yml                                              unknown                          3.68        3.69        None
jbmc-regression/CharSequenceBug.yml                                                     unknown                          3.16        3.17        None
jbmc-regression/CharSequenceToString.yml                                                false                            3.35        3.37        None
jbmc-regression/ClassCastException1.yml                                                 unknown                          2.61        2.62        None
jbmc-regression/ClassCastException2.yml                                                 true                             2.68        2.70        None
jbmc-regression/ClassCastException3.yml                                                 unknown                          2.62        2.64        None
jbmc-regression/Class_method1.yml                                                       true                             2.61        2.62        None
jbmc-regression/Inheritance1.yml                                                        true                             2.60        2.63        None
jbmc-regression/NegativeArraySizeException1.yml                                         unknown                          2.60        2.61        None
jbmc-regression/NegativeArraySizeException2.yml                                         unknown                          2.66        2.68        None
jbmc-regression/NullPointerException1.yml                                               unknown                          2.71        2.72        None
jbmc-regression/NullPointerException2.yml                                               unknown                          2.58        2.59        None
jbmc-regression/NullPointerException3.yml                                               unknown                          2.57        2.58        None
jbmc-regression/NullPointerException4.yml                                               unknown                          2.54        2.56        None
jbmc-regression/RegexMatches01.yml                                                      true                             2.54        2.55        None
jbmc-regression/RegexMatches02.yml                                                      true                             2.48        2.48        None
jbmc-regression/RegexSubstitution01.yml                                                 true                             2.48        2.49        None
jbmc-regression/RegexSubstitution02.yml                                                 unknown                          2.58        2.59        None
jbmc-regression/RegexSubstitution03.yml                                                 true                             2.63        2.64        None
jbmc-regression/StaticCharMethods01.yml                                                 true                             2.59        2.60        None
jbmc-regression/StaticCharMethods02.yml                                                 unknown                          3.35        3.37        None
jbmc-regression/StaticCharMethods03.yml                                                 unknown                          3.06        3.07        None
jbmc-regression/StaticCharMethods04.yml                                                 unknown                          2.60        2.62        None
