tool		SPF Monday 11 August 2025 06:41:43 PM IST	SPF Monday 11 August 2025 06:41:43 PM IST	SPF Monday 11 August 2025 06:41:43 PM IST	SPF Monday 11 August 2025 06:41:43 PM IST
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jayhorn-recursive/Ackermann01.yml	false	false	3.103402	3.1063541630001055	123.346944
jayhorn-recursive/Addition.yml	true	true	3.615201	3.628252900999996	112.566272
jayhorn-recursive/InfiniteLoop.yml	false	false	1.706995	1.7147883479999564	103.387136
jayhorn-recursive/SatAckermann01.yml	true	true	229.884584	229.9259450510001	174.063616
jayhorn-recursive/SatAckermann02.yml	true	true	234.117264	234.18120417799992	175.640576
jayhorn-recursive/SatAckermann03.yml	true	true	235.263177	235.32037389899983	175.337472
jayhorn-recursive/SatAddition01.yml	true	true	4.124588	4.132088305000025	118.390784
jayhorn-recursive/SatEvenOdd01.yml	true	unknown	2.427641	2.4307633109999642	101.019648
jayhorn-recursive/SatFibonacci01.yml	true	true	15.949588	15.964148953000176	129.159168
jayhorn-recursive/SatFibonacci02.yml	true	true	2.183353	2.1980584590000944	56.516608
jayhorn-recursive/SatFibonacci03.yml	true	true	21.796109	21.811909081000067	130.859008
jayhorn-recursive/SatGcd.yml	true	TIMEOUT	900.931078	901.0065073510002	153.870336
jayhorn-recursive/SatHanoi01.yml	true	true	99.460878	99.48144224300017	140.185600
jayhorn-recursive/SatMccarthy91.yml	true	true	206.858147	206.888057635	161.415168
jayhorn-recursive/SatMultCommutative01.yml	true	true	6.754407	6.777424338999936	120.512512
jayhorn-recursive/SatPrimes01.yml	true	unknown	162.131782	162.15819551100003	209.698816
jayhorn-recursive/UnsatAckermann01.yml	false	false	3.057042	3.0793180810001104	101.675008
jayhorn-recursive/UnsatAddition01.yml	false	false	2.954195	3.7362873730000956	101.412864
jayhorn-recursive/UnsatAddition02.yml	false	true	6.88814	6.9108852080000815	108.220416
jayhorn-recursive/UnsatEvenOdd01.yml	false	unknown	2.931302	2.9356082770000285	107.954176
jayhorn-recursive/UnsatFibonacci01.yml	false	false	4.324987	4.335293024000066	103.366656
jayhorn-recursive/UnsatFibonacci02.yml	false	false	10.722774	10.729854270000033	119.980032
jayhorn-recursive/UnsatMccarthy91.yml	false	false	2.998504	3.0071606249998695	101.163008
jbmc-regression/ArithmeticException1.yml	false	false	2.984307	3.008070029999999	100.380672
jbmc-regression/ArithmeticException5.yml	true	true	2.410906	2.435547277000069	55.394304
jbmc-regression/ArithmeticException6.yml	false	false	2.917882	2.9321800519999215	101.150720
jbmc-regression/ArrayIndexOutOfBoundsException1.yml	false	unknown	2.797965	2.8034425310002007	100.237312
jbmc-regression/ArrayIndexOutOfBoundsException2.yml	false	unknown	2.923217	2.927304658999901	107.933696
jbmc-regression/ArrayIndexOutOfBoundsException3.yml	false	unknown	2.703168	2.718057419999923	81.625088
jbmc-regression/BufferedReaderReadLine.yml	false	false	2.972257	2.9777512320001733	103.034880
jbmc-regression/CharSequenceBug.yml	false	false	2.934006	2.948565977000044	103.538688
jbmc-regression/CharSequenceToString.yml	true	true	3.020792	3.0321521670000493	108.118016
jbmc-regression/ClassCastException1.yml	false	false	2.371685	2.3841265359999397	55.111680
jbmc-regression/ClassCastException2.yml	true	true	2.354278	2.3648024280000755	54.243328
jbmc-regression/ClassCastException3.yml	false	false	2.388339	2.401903018999974	54.472704
jbmc-regression/Class_method1.yml	true	true	2.364784	2.3884813510001095	54.968320
jbmc-regression/Inheritance1.yml	true	true	2.439082	2.4557954469999004	53.231616
jbmc-regression/NegativeArraySizeException1.yml	false	false	2.554426	2.5661773150000045	55.562240
jbmc-regression/NegativeArraySizeException2.yml	false	false	2.574459	2.5893585589999475	53.714944
jbmc-regression/NullPointerException1.yml	true	true	2.627141	2.651633585999889	55.107584
jbmc-regression/NullPointerException2.yml	false	false	2.409625	2.4293794779998734	52.731904
jbmc-regression/NullPointerException3.yml	false	false	2.32629	2.3422695570000087	55.119872
jbmc-regression/NullPointerException4.yml	false	false	2.474742	2.492406014000153	55.242752
jbmc-regression/RegexMatches01.yml	true	true	2.484444	2.492330187999869	54.456320
jbmc-regression/RegexMatches02.yml	false	true	2.457624	2.476642507999941	55.529472
jbmc-regression/RegexSubstitution01.yml	true	true	2.492231	2.5123890419999952	53.444608
jbmc-regression/RegexSubstitution02.yml	false	unknown	2.579335	2.599071691000063	53.456896
jbmc-regression/RegexSubstitution03.yml	true	true	2.582464	2.604457547000038	55.140352
jbmc-regression/StaticCharMethods01.yml	true	true	2.501525	2.516299226000001	53.592064
jbmc-regression/StaticCharMethods02.yml	false	false	2.960366	2.9744350779999422	101.195776
jbmc-regression/StaticCharMethods03.yml	false	false	3.021703	3.046554320000041	101.281792
jbmc-regression/StaticCharMethods04.yml	false	false	2.469587	2.4826950399999532	52.928512
jbmc-regression/StaticCharMethods05.yml	false	unknown	2.646689	2.654428338999878	53.903360
jbmc-regression/StaticCharMethods06.yml	true	true	3.054316	3.0647186979999788	102.432768
jbmc-regression/StringBuilderAppend01.yml	true	unknown	2.780076	2.796785769000053	54.976512
jbmc-regression/StringBuilderAppend02.yml	false	unknown	2.756999	2.771997104000093	54.853632
jbmc-regression/StringBuilderCapLen01.yml	true	true	2.56429	2.5815261549998922	54.534144
jbmc-regression/StringBuilderCapLen02.yml	false	false	2.848988	2.861434892000034	80.760832
jbmc-regression/StringBuilderCapLen03.yml	false	unknown	2.511803	2.534677410999848	54.169600
jbmc-regression/StringBuilderCapLen04.yml	false	unknown	2.446962	2.4692427500001486	54.894592
jbmc-regression/StringBuilderChars01.yml	true	true	2.613089	2.622241678999899	56.623104
jbmc-regression/StringBuilderChars02.yml	false	false	3.023587	3.042319391999854	80.883712
jbmc-regression/StringBuilderChars03.yml	false	unknown	2.39887	2.422358852000116	54.788096
jbmc-regression/StringBuilderChars04.yml	false	unknown	2.597445	2.6111753580000823	53.166080
jbmc-regression/StringBuilderChars05.yml	false	unknown	2.556401	2.577625320999914	54.112256
jbmc-regression/StringBuilderChars06.yml	false	unknown	2.50885	2.5223981339997863	54.841344
jbmc-regression/StringBuilderConstructors01.yml	true	unknown	2.956203	2.9767445949999	102.064128
jbmc-regression/StringBuilderConstructors02.yml	false	unknown	2.464957	2.4756070260000342	53.567488
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	2.531944	2.53656054399994	53.235712
jbmc-regression/StringBuilderInsertDelete02.yml	false	unknown	2.447119	2.4563477189999503	55.816192
jbmc-regression/StringBuilderInsertDelete03.yml	false	unknown	2.777412	2.792595001000109	52.846592
jbmc-regression/StringCompare01.yml	true	true	2.595239	2.6097575940000297	55.054336
jbmc-regression/StringCompare02.yml	false	unknown	2.572568	2.597103742000172	54.931456
jbmc-regression/StringCompare03.yml	false	unknown	2.583746	2.601588892000109	55.365632
jbmc-regression/StringCompare04.yml	false	unknown	2.423222	2.4335445560000153	52.977664
jbmc-regression/StringCompare05.yml	false	false	2.425909	2.4493826299999455	55.947264
jbmc-regression/StringConcatenation01.yml	true	true	3.012077	3.026051081999867	83.259392
jbmc-regression/StringConcatenation02.yml	false	false	2.744484	2.768386302999943	80.302080
jbmc-regression/StringConcatenation03.yml	false	false	3.116003	3.1340764560000025	90.779648
jbmc-regression/StringConcatenation04.yml	false	false	2.903128	2.9274809410001126	83.144704
jbmc-regression/StringConstructors01.yml	true	true	2.675102	2.6986509850000857	55.062528
jbmc-regression/StringConstructors02.yml	false	false	2.959407	2.975323499000069	82.558976
jbmc-regression/StringConstructors03.yml	false	false	3.049826	3.072390528000142	81.104896
jbmc-regression/StringConstructors04.yml	false	false	3.079933	3.0916193660000317	80.527360
jbmc-regression/StringConstructors05.yml	false	false	2.904203	2.9171122359998662	82.219008
jbmc-regression/StringContains01.yml	false	false	2.962	2.9671824009999455	82.391040
jbmc-regression/StringContains02.yml	false	false	3.075746	3.0906896700000743	80.523264
jbmc-regression/StringIndexMethods01.yml	true	true	2.762301	2.782869374000029	54.996992
jbmc-regression/StringIndexMethods02.yml	false	false	3.04496	3.056539310000062	103.407616
jbmc-regression/StringIndexMethods03.yml	false	unknown	2.914977	2.9297032389999913	99.852288
jbmc-regression/StringIndexMethods04.yml	false	TIMEOUT	900.852465	901.0069271270002	498.524160
jbmc-regression/StringIndexMethods05.yml	false	unknown	2.925485	2.930288507999876	98.488320
jbmc-regression/StringMiscellaneous01.yml	true	true	2.561175	2.5739855910001097	53.989376
jbmc-regression/StringMiscellaneous02.yml	false	false	2.927965	2.9426158570001917	103.849984
jbmc-regression/StringMiscellaneous03.yml	false	false	2.079743	2.0835544490000757	101.965824
jbmc-regression/StringMiscellaneous04.yml	true	true	2.233598	2.257693935999896	54.800384
