   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java, SV-COMP25_runtime-exception.RuntimeException-Java
date:                    Fri, 2025-08-22 03:05:47 IST
tool:                    SPF Friday 22 August 2025 03:03:02 AM IST
tool executable:         ./jpf-sv-comp
options:
parallel runs:           8
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             1
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    Desktop
os:                      Linux-6.8.0-65-generic-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 5 5600G with Radeon Graphics
- cores:                 12
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     29324.566528 MB
------------------------------------------------------------



SV-COMP25_assert_java
Run set 1 of 2: skipped because it has no files


SV-COMP25_runtime-exception.RuntimeException-Java
Run set 2 of 2 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       true                           376.57      388.26        None
jayhorn-recursive/Addition.yml                                                          true                             4.47        5.09        None
jayhorn-recursive/InfiniteLoop.yml                                                      TIMEOUT                        900.55      926.93        None
jayhorn-recursive/SatAckermann01.yml                                                    true                           285.52      299.29        None
jayhorn-recursive/SatAckermann02.yml                                                    true                           282.54      296.01        None
jayhorn-recursive/SatAckermann03.yml                                                    true                           286.53      299.88        None
jayhorn-recursive/SatAddition01.yml                                                     true                             4.25        4.89        None
jayhorn-recursive/SatEvenOdd01.yml                                                      unknown                          2.66        3.08        None
jayhorn-recursive/SatFibonacci01.yml                                                    true                            23.76       26.40        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             2.55        2.77        None
jayhorn-recursive/SatFibonacci03.yml                                                    true                            23.45       25.59        None
jayhorn-recursive/SatGcd.yml                                                            TIMEOUT                        901.03      911.30        None
jayhorn-recursive/SatHanoi01.yml                                                        true                           109.10      113.90        None
jayhorn-recursive/SatMccarthy91.yml                                                     true                           205.46      210.66        None
jayhorn-recursive/SatMultCommutative01.yml                                              true                             8.49        8.50        None
jayhorn-recursive/SatPrimes01.yml                                                       unknown                        398.20      398.34        None
jayhorn-recursive/UnsatAckermann01.yml                                                  TIMEOUT                        900.96      901.01        None
jayhorn-recursive/UnsatAddition01.yml                                                   true                             5.28        5.29        None
jayhorn-recursive/UnsatAddition02.yml                                                   true                             5.50        5.51        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    unknown                          2.43        2.43        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  true                            30.12       30.14        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  true                            30.30       30.31        None
jayhorn-recursive/UnsatMccarthy91.yml                                                   true                           176.54      176.59        None
jbmc-regression/ArithmeticException1.yml                                                true                             2.48        2.50        None
jbmc-regression/ArithmeticException5.yml                                                true                             2.13        2.14        None
jbmc-regression/ArithmeticException6.yml                                                true                             2.24        2.24        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                     unknown                          2.59        2.59        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                     unknown                          2.50        2.52        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                     unknown                          2.53        2.53        None
jbmc-regression/BufferedReaderReadLine.yml                                              unknown                          2.40        2.41        None
jbmc-regression/CharSequenceBug.yml                                                     true                             2.35        2.37        None
jbmc-regression/CharSequenceToString.yml                                                true                             2.62        2.64        None
jbmc-regression/ClassCastException1.yml                                                 true                             1.93        1.95        None
jbmc-regression/ClassCastException2.yml                                                 true                             2.12        2.13        None
jbmc-regression/ClassCastException3.yml                                                 true                             1.88        1.88        None
jbmc-regression/Class_method1.yml                                                       true                             2.02        2.05        None
jbmc-regression/Inheritance1.yml                                                        true                             2.14        2.15        None
jbmc-regression/NegativeArraySizeException1.yml                                         true                             2.00        2.02        None
jbmc-regression/NegativeArraySizeException2.yml                                         true                             2.00        2.00        None
jbmc-regression/NullPointerException1.yml                                               true                             1.95        1.96        None
jbmc-regression/NullPointerException2.yml                                               true                             2.03        2.05        None
