   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java, SV-COMP25_runtime-exception.RuntimeException-Java
date:                    Tue, 2025-08-26 03:20:08 IST
tool:                    SPF Tuesday 26 August 2025 03:16:19 AM IST
tool executable:         ./jpf-sv-comp
options:
parallel runs:           8
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             1
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    Desktop
os:                      Linux-6.8.0-65-generic-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 5 5600G with Radeon Graphics
- cores:                 12
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     29324.554239999998 MB
------------------------------------------------------------



SV-COMP25_assert_java
Run set 1 of 2: skipped because it has no files


SV-COMP25_runtime-exception.RuntimeException-Java
Run set 2 of 2 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       true                           337.25      337.37        None
jayhorn-recursive/Addition.yml                                                          true                             3.48        3.50        None
jayhorn-recursive/InfiniteLoop.yml                                                      TIMEOUT                        901.01      902.02        None
jayhorn-recursive/SatAckermann01.yml                                                    true                           250.52      250.63        None
jayhorn-recursive/SatAckermann02.yml                                                    true                           240.93      241.13        None
jayhorn-recursive/SatAckermann03.yml                                                    true                           251.54      251.72        None
jayhorn-recursive/SatAddition01.yml                                                     true                             3.83        3.84        None
jayhorn-recursive/SatEvenOdd01.yml                                                      unknown                          2.53        2.56        None
jayhorn-recursive/SatFibonacci01.yml                                                    true                            25.75       25.98        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             2.06        2.08        None
jayhorn-recursive/SatFibonacci03.yml                                                    true                            23.29       23.31        None
jayhorn-recursive/SatGcd.yml                                                            TIMEOUT                        900.83      901.01        None
jayhorn-recursive/SatHanoi01.yml                                                        true                           100.59      100.68        None
jayhorn-recursive/SatMccarthy91.yml                                                     true                           236.70      237.14        None
jayhorn-recursive/SatMultCommutative01.yml                                              true                             8.46        8.48        None
jayhorn-recursive/SatPrimes01.yml                                                       unknown                        282.87      283.04        None
jayhorn-recursive/UnsatAckermann01.yml                                                  TIMEOUT                        900.12      901.01        None
jayhorn-recursive/UnsatAddition01.yml                                                   true                             4.98        4.99        None
jayhorn-recursive/UnsatAddition02.yml                                                   true                             5.00        5.00        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    unknown                          1.85        1.86        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  true                            25.73       25.75        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  true                            27.23       27.25        None
jayhorn-recursive/UnsatMccarthy91.yml                                                   true                           230.32      230.90        None
jbmc-regression/ArithmeticException1.yml                                                true                             2.32        2.34        None
jbmc-regression/ArithmeticException5.yml                                                true                             1.86        1.87        None
jbmc-regression/ArithmeticException6.yml                                                true                             2.88        2.90        None
