tool		SPF Friday 25 July 2025 04:48:22 AM IST	SPF Friday 25 July 2025 04:48:22 AM IST	SPF Friday 25 July 2025 04:48:22 AM IST	SPF Friday 25 July 2025 04:48:22 AM IST
run set		SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jayhorn-recursive/Ackermann01.yml	true	false	2.149335	2.2941455029999815	81.772544
jayhorn-recursive/Addition.yml	true	true	2.30299	2.429247359000044	81.735680
jayhorn-recursive/InfiniteLoop.yml	true	false	1.695056	1.8979090210000322	94.978048
jayhorn-recursive/SatAckermann01.yml	true	true	12.373228	12.579640953000023	161.189888
jayhorn-recursive/SatAckermann02.yml	true	true	12.143356	12.358866948999946	161.669120
jayhorn-recursive/SatAckermann03.yml	true	true	12.213617	12.56758417900005	158.167040
jayhorn-recursive/SatAddition01.yml	true	true	2.249774	2.3845186730000023	80.900096
jayhorn-recursive/SatEvenOdd01.yml	true	true	2.240706	2.361447862000034	79.605760
jayhorn-recursive/SatFibonacci01.yml	true	true	2.407344	2.4191312620000645	103.424000
jayhorn-recursive/SatFibonacci02.yml	true	true	2.04421	2.066526313000054	54.845440
jayhorn-recursive/SatFibonacci03.yml	true	true	3.661157	3.67759915299996	108.445696
jayhorn-recursive/SatGcd.yml	true	TIMEOUT	901.017668	902.029081995	179.138560
jayhorn-recursive/SatHanoi01.yml	true	true	7.719432	7.737141455000028	161.071104
jayhorn-recursive/SatMccarthy91.yml	true	true	58.290339	58.35345407700004	184.639488
jayhorn-recursive/SatMultCommutative01.yml	true	true	2.662949	2.6808437610000055	81.440768
jayhorn-recursive/SatPrimes01.yml	true	unknown	448.150288	449.43365739	220.286976
jayhorn-recursive/UnsatAckermann01.yml	true	false	2.284669	2.3302488279999807	79.192064
jayhorn-recursive/UnsatAddition01.yml	true	false	2.466481	2.4831194270000196	88.297472
jayhorn-recursive/UnsatAddition02.yml	true	true	2.699461	2.769638611000005	80.396288
jayhorn-recursive/UnsatEvenOdd01.yml	true	false	1.940864	1.9453740139999809	81.645568
jayhorn-recursive/UnsatFibonacci01.yml	true	false	2.337096	2.350128280999911	79.659008
jayhorn-recursive/UnsatFibonacci02.yml	true	false	2.415265	2.4566484599999967	92.155904
jayhorn-recursive/UnsatMccarthy91.yml	true	false	1.834718	1.8431726799999524	79.040512
jbmc-regression/ArithmeticException1.yml	true	false	2.356745	2.369540460000053	82.567168
jbmc-regression/ArithmeticException5.yml	true	true	1.787803	1.8157050099999879	53.170176
jbmc-regression/ArithmeticException6.yml	true	false	1.922648	1.9485175700000354	79.855616
jbmc-regression/ArrayIndexOutOfBoundsException1.yml	true	false	2.400244	2.414271289999988	78.458880
jbmc-regression/ArrayIndexOutOfBoundsException2.yml	true	false	1.951058	1.981433573000004	79.081472
jbmc-regression/ArrayIndexOutOfBoundsException3.yml	true	false	2.253153	2.267771046000007	78.536704
jbmc-regression/BufferedReaderReadLine.yml	true	unknown	1.95955	1.9795288569999911	57.667584
jbmc-regression/CharSequenceBug.yml	true	false	1.938701	1.9542934070000229	78.184448
jbmc-regression/CharSequenceToString.yml	true	unknown	1.947854	1.9745733500000142	61.411328
jbmc-regression/ClassCastException1.yml	true	false	2.078047	2.09067646699998	54.829056
jbmc-regression/ClassCastException2.yml	true	true	2.140517	2.1580400459999964	56.594432
jbmc-regression/ClassCastException3.yml	true	false	1.856863	1.9218135549999715	53.813248
jbmc-regression/Class_method1.yml	true	true	1.834788	1.8622736279999117	53.055488
jbmc-regression/Inheritance1.yml	true	true	1.849836	1.8845539469999721	53.391360
jbmc-regression/NegativeArraySizeException1.yml	true	false	2.104508	2.1233766420000393	54.779904
jbmc-regression/NegativeArraySizeException2.yml	true	false	2.061162	2.081985918999976	53.395456
jbmc-regression/NullPointerException1.yml	true	true	1.683944	1.6983267839999598	53.772288
jbmc-regression/NullPointerException2.yml	true	false	1.679838	1.7023330639999585	53.760000
jbmc-regression/NullPointerException3.yml	true	false	1.675534	1.706989404000069	54.448128
jbmc-regression/NullPointerException4.yml	true	false	1.993906	2.015514959000029	53.800960
jbmc-regression/RegexMatches01.yml	true	true	1.674242	1.689786798	53.145600
jbmc-regression/RegexMatches02.yml	true	true	1.706994	1.7198316120000072	56.393728
jbmc-regression/RegexSubstitution01.yml	true	true	2.120941	2.146322689000044	53.825536
jbmc-regression/RegexSubstitution02.yml	true	unknown	1.798946	1.8248909980000008	53.362688
jbmc-regression/RegexSubstitution03.yml	true	true	2.156687	2.176392630999999	53.895168
jbmc-regression/StaticCharMethods01.yml	true	true	1.807826	1.8322122250000348	53.571584
jbmc-regression/StaticCharMethods02.yml	true	unknown	1.845127	1.8577805489999264	64.446464
jbmc-regression/StaticCharMethods03.yml	true	unknown	2.182427	2.2025432330000285	56.946688
jbmc-regression/StaticCharMethods04.yml	true	false	1.870024	1.9110048719999213	53.620736
jbmc-regression/StaticCharMethods05.yml	false	unknown	1.799141	1.812613443000032	53.399552
jbmc-regression/StaticCharMethods06.yml	true	unknown	1.747583	1.7517979399999604	58.339328
jbmc-regression/StringBuilderAppend01.yml	true	unknown	2.241369	2.264487745999986	54.083584
jbmc-regression/StringBuilderAppend02.yml	true	unknown	1.741069	1.7757726789999424	53.907456
jbmc-regression/StringBuilderCapLen01.yml	true	true	2.155646	2.1686984379999785	53.915648
jbmc-regression/StringBuilderCapLen02.yml	true	false	1.767485	1.7896754119999514	56.991744
jbmc-regression/StringBuilderCapLen03.yml	true	unknown	1.70246	1.723697892999894	55.193600
jbmc-regression/StringBuilderCapLen04.yml	true	unknown	2.092817	2.10705202500003	54.886400
jbmc-regression/StringBuilderChars01.yml	true	true	1.749277	1.785231342999964	53.579776
jbmc-regression/StringBuilderChars02.yml	true	false	2.143857	2.1565289190000385	57.225216
jbmc-regression/StringBuilderChars03.yml	false	unknown	1.67267	1.6943662109999877	56.115200
jbmc-regression/StringBuilderChars04.yml	true	unknown	1.665231	1.6879958560000432	54.726656
jbmc-regression/StringBuilderChars05.yml	false	unknown	2.11258	2.1864432090000037	53.264384
jbmc-regression/StringBuilderChars06.yml	true	unknown	1.725508	1.7655734180000309	53.235712
jbmc-regression/StringBuilderConstructors01.yml	true	unknown	2.233619	2.247509960000002	56.991744
jbmc-regression/StringBuilderConstructors02.yml	true	unknown	1.81291	1.845150913999987	53.469184
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	1.896084	1.9180003839999245	53.686272
jbmc-regression/StringBuilderInsertDelete02.yml	true	unknown	1.897618	1.9446491790000664	53.846016
jbmc-regression/StringBuilderInsertDelete03.yml	true	unknown	2.290472	2.299272457999905	55.427072
jbmc-regression/StringCompare01.yml	true	true	1.842245	1.8659551880000436	53.592064
jbmc-regression/StringCompare02.yml	true	unknown	1.792371	1.8147238450000032	56.569856
jbmc-regression/StringCompare03.yml	true	unknown	2.131923	2.147029290999967	53.325824
jbmc-regression/StringCompare04.yml	true	unknown	1.851783	1.891635261000033	54.693888
jbmc-regression/StringCompare05.yml	true	false	2.150868	2.176660460999983	53.465088
jbmc-regression/StringConcatenation01.yml	true	false	1.911305	1.9276677230000132	57.974784
jbmc-regression/StringConcatenation02.yml	true	false	1.93913	1.9515294299999368	57.040896
jbmc-regression/StringConcatenation03.yml	true	false	2.219561	2.2430469610000046	58.060800
jbmc-regression/StringConcatenation04.yml	true	false	1.885857	1.9262823860000253	58.281984
jbmc-regression/StringConstructors01.yml	true	true	1.941474	1.9679767540000057	52.658176
jbmc-regression/StringConstructors02.yml	true	false	2.019894	2.028520573999913	57.995264
jbmc-regression/StringConstructors03.yml	true	false	2.19038	2.195400513999971	56.799232
jbmc-regression/StringConstructors04.yml	true	false	2.168638	2.1966447660000767	57.364480
jbmc-regression/StringConstructors05.yml	true	false	1.948875	2.005226302999972	58.077184
jbmc-regression/StringContains01.yml	true	false	1.757607	1.7769079740000961	57.307136
jbmc-regression/StringContains02.yml	true	false	1.692364	1.7053024829999686	57.901056
jbmc-regression/StringIndexMethods01.yml	true	true	2.08627	2.1065189550000696	53.567488
jbmc-regression/StringIndexMethods02.yml	true	false	2.213567	2.2365781109999716	78.123008
jbmc-regression/StringIndexMethods03.yml	true	false	1.737346	1.7742258900000252	78.782464
jbmc-regression/StringIndexMethods04.yml	true	false	1.788147	1.8125410259999626	78.508032
jbmc-regression/StringIndexMethods05.yml	true	false	1.695165	1.70840281400001	78.360576
jbmc-regression/StringMiscellaneous01.yml	true	true	2.090574	2.0992025499999727	53.309440
jbmc-regression/StringMiscellaneous02.yml	true	unknown	1.663226	1.6862843959999054	56.815616
jbmc-regression/StringMiscellaneous03.yml	false	unknown	2.168607	2.189005323999936	59.047936
jbmc-regression/StringMiscellaneous04.yml	true	true	1.644551	1.6651187610000306	55.697408
jbmc-regression/StringStartEnd01.yml	true	true	1.616056	1.6354559589999553	64.172032
jbmc-regression/StringStartEnd02.yml	true	false	2.184346	2.202168553999968	58.130432
jbmc-regression/StringStartEnd03.yml	true	false	1.726444	1.7595698549999952	57.880576
jbmc-regression/StringValueOf01.yml	true	true	1.606513	1.6276253720000113	54.030336
jbmc-regression/StringValueOf02.yml	false	false	1.64511	1.6657159280000542	54.583296
jbmc-regression/StringValueOf03.yml	false	false	2.11301	2.1269892760000175	57.253888
jbmc-regression/StringValueOf04.yml	true	false	1.704292	1.720656018999989	60.944384
jbmc-regression/StringValueOf05.yml	true	unknown	2.122847	2.1304557129999466	57.720832
