   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java, SV-COMP25_runtime-exception.RuntimeException-Java
date:                    Sat, 2025-07-26 02:55:23 IST
tool:                    SPF Friday 25 July 2025 04:48:22 AM IST
tool executable:         ./jpf-sv-comp
options:
parallel runs:           8
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             1
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    Desktop
os:                      Linux-6.8.0-64-generic-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 5 5600G with Radeon Graphics
- cores:                 12
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     29324.566528 MB
------------------------------------------------------------



SV-COMP25_assert_java
Run set 1 of 2: skipped because it has no files


SV-COMP25_runtime-exception.RuntimeException-Java
Run set 2 of 2 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       false                            2.15        2.29        None
jayhorn-recursive/Addition.yml                                                          true                             2.30        2.43        None
jayhorn-recursive/InfiniteLoop.yml                                                      false                            1.70        1.90        None
jayhorn-recursive/SatAckermann01.yml                                                    true                            12.37       12.58        None
jayhorn-recursive/SatAckermann02.yml                                                    true                            12.14       12.36        None
jayhorn-recursive/SatAckermann03.yml                                                    true                            12.21       12.57        None
jayhorn-recursive/SatAddition01.yml                                                     true                             2.25        2.38        None
jayhorn-recursive/SatEvenOdd01.yml                                                      true                             2.24        2.36        None
jayhorn-recursive/SatFibonacci01.yml                                                    true                             2.41        2.42        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             2.04        2.07        None
jayhorn-recursive/SatFibonacci03.yml                                                    true                             3.66        3.68        None
jayhorn-recursive/SatGcd.yml                                                            TIMEOUT                        901.02      902.03        None
jayhorn-recursive/SatHanoi01.yml                                                        true                             7.72        7.74        None
jayhorn-recursive/SatMccarthy91.yml                                                     true                            58.29       58.35        None
jayhorn-recursive/SatMultCommutative01.yml                                              true                             2.66        2.68        None
jayhorn-recursive/SatPrimes01.yml                                                       unknown                        448.15      449.43        None
jayhorn-recursive/UnsatAckermann01.yml                                                  false                            2.28        2.33        None
jayhorn-recursive/UnsatAddition01.yml                                                   false                            2.47        2.48        None
jayhorn-recursive/UnsatAddition02.yml                                                   true                             2.70        2.77        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    false                            1.94        1.95        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  false                            2.34        2.35        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  false                            2.42        2.46        None
jayhorn-recursive/UnsatMccarthy91.yml                                                   false                            1.83        1.84        None
jbmc-regression/ArithmeticException1.yml                                                false                            2.36        2.37        None
jbmc-regression/ArithmeticException5.yml                                                true                             1.79        1.82        None
jbmc-regression/ArithmeticException6.yml                                                false                            1.92        1.95        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                     false                            2.40        2.41        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                     false                            1.95        1.98        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                     false                            2.25        2.27        None
jbmc-regression/BufferedReaderReadLine.yml                                              unknown                          1.96        1.98        None
jbmc-regression/CharSequenceBug.yml                                                     false                            1.94        1.95        None
jbmc-regression/CharSequenceToString.yml                                                unknown                          1.95        1.97        None
jbmc-regression/ClassCastException1.yml                                                 false                            2.08        2.09        None
jbmc-regression/ClassCastException2.yml                                                 true                             2.14        2.16        None
jbmc-regression/ClassCastException3.yml                                                 false                            1.86        1.92        None
jbmc-regression/Class_method1.yml                                                       true                             1.83        1.86        None
jbmc-regression/Inheritance1.yml                                                        true                             1.85        1.88        None
jbmc-regression/NegativeArraySizeException1.yml                                         false                            2.10        2.12        None
jbmc-regression/NegativeArraySizeException2.yml                                         false                            2.06        2.08        None
jbmc-regression/NullPointerException1.yml                                               true                             1.68        1.70        None
jbmc-regression/NullPointerException2.yml                                               false                            1.68        1.70        None
jbmc-regression/NullPointerException3.yml                                               false                            1.68        1.71        None
jbmc-regression/NullPointerException4.yml                                               false                            1.99        2.02        None
jbmc-regression/RegexMatches01.yml                                                      true                             1.67        1.69        None
jbmc-regression/RegexMatches02.yml                                                      true                             1.71        1.72        None
jbmc-regression/RegexSubstitution01.yml                                                 true                             2.12        2.15        None
jbmc-regression/RegexSubstitution02.yml                                                 unknown                          1.80        1.82        None
jbmc-regression/RegexSubstitution03.yml                                                 true                             2.16        2.18        None
jbmc-regression/StaticCharMethods01.yml                                                 true                             1.81        1.83        None
jbmc-regression/StaticCharMethods02.yml                                                 unknown                          1.85        1.86        None
jbmc-regression/StaticCharMethods03.yml                                                 unknown                          2.18        2.20        None
jbmc-regression/StaticCharMethods04.yml                                                 false                            1.87        1.91        None
jbmc-regression/StaticCharMethods05.yml                                                 unknown                          1.80        1.81        None
