tool		SPF Wednesday 27 November 2019 02:15:09 AM IST	SPF Wednesday 27 November 2019 02:15:09 AM IST	SPF Wednesday 27 November 2019 02:15:09 AM IST	SPF Wednesday 27 November 2019 02:15:09 AM IST
run set		SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jayhorn-recursive/Ackermann01.yml	true	false	2.056034	2.068794128000036	63.811584
jayhorn-recursive/Addition.yml	true	true	567.296485	567.3989657030002	540.106752
jayhorn-recursive/InfiniteLoop.yml	true	false	1.218307	1.2303408899999795	52.490240
jayhorn-recursive/SatAckermann01.yml	true	TIMEOUT	900.764529	901.0169998550001	1865.129984
jayhorn-recursive/SatAckermann02.yml	true	TIMEOUT	900.774724	901.015351011	1870.303232
jayhorn-recursive/SatAckermann03.yml	true	TIMEOUT	900.779129	901.002700589	1882.230784
jayhorn-recursive/SatAddition01.yml	true	OUT OF MEMORY	140.887208	140.697350379	2999.996416
jayhorn-recursive/SatEvenOdd01.yml	true	unknown	1.994621	2.1027707829999827	63.143936
jayhorn-recursive/SatFibonacci01.yml	true	unknown	1.461583	1.558929981999995	65.191936
jayhorn-recursive/SatFibonacci02.yml	true	true	1.581431	1.6077138770000374	53.010432
jayhorn-recursive/SatFibonacci03.yml	true	TIMEOUT	900.997371	901.2235306200001	1919.225856
jayhorn-recursive/SatGcd.yml	true	OUT OF MEMORY	70.146129	70.04256325799997	2999.996416
jayhorn-recursive/SatHanoi01.yml	true	TIMEOUT	900.973292	901.1097548550001	1926.225920
jayhorn-recursive/SatMccarthy91.yml	true	TIMEOUT	900.92917	901.005196707	567.611392
jayhorn-recursive/SatMultCommutative01.yml	true	TIMEOUT	900.974312	901.0079905609999	241.266688
jayhorn-recursive/SatPrimes01.yml	true	TIMEOUT	900.931425	901.0043935859999	164.872192
jayhorn-recursive/UnsatAckermann01.yml	true	false	1.51462	1.527812608999966	66.424832
jayhorn-recursive/UnsatAddition01.yml	true	false	1.73734	1.749628543999961	63.631360
jayhorn-recursive/UnsatAddition02.yml	true	true	313.688627	313.737125398	889.978880
jayhorn-recursive/UnsatEvenOdd01.yml	true	unknown	1.829758	1.9415442389999953	63.336448
jayhorn-recursive/UnsatFibonacci01.yml	true	false	1.664419	1.6772589310000967	68.575232
jayhorn-recursive/UnsatFibonacci02.yml	true	false	2.740388	2.7540567539999756	76.697600
jayhorn-recursive/UnsatMccarthy91.yml	true	false	1.859546	1.8736565960000462	65.122304
jbmc-regression/ArithmeticException1.yml	true	false	1.449664	1.4631866470001569	65.064960
jbmc-regression/ArithmeticException5.yml	true	true	1.569129	1.582211326999868	52.854784
jbmc-regression/ArithmeticException6.yml	true	false	1.84541	1.8550445360001504	63.172608
jbmc-regression/ArrayIndexOutOfBoundsException1.yml	true	unknown	1.443849	1.4580391679999138	64.442368
jbmc-regression/ArrayIndexOutOfBoundsException2.yml	true	unknown	1.793167	1.806565947000081	65.110016
jbmc-regression/ArrayIndexOutOfBoundsException3.yml	true	unknown	1.390395	1.4034094520000053	63.049728
jbmc-regression/BufferedReaderReadLine.yml	true	false	1.450289	1.4739498490000642	63.172608
jbmc-regression/CharSequenceBug.yml	true	false	1.833725	1.844267008000088	64.786432
jbmc-regression/CharSequenceToString.yml	true	true	1.425976	1.441721520000101	65.425408
jbmc-regression/ClassCastException1.yml	true	false	1.599418	1.6170225829998799	52.748288
jbmc-regression/ClassCastException2.yml	true	true	1.259854	1.2724601349998466	52.613120
jbmc-regression/ClassCastException3.yml	true	false	1.258466	1.2679772710000634	52.690944
jbmc-regression/Class_method1.yml	true	true	1.57199	1.5848470470000393	52.523008
jbmc-regression/Inheritance1.yml	true	true	1.581449	1.6005327990001206	55.259136
jbmc-regression/NegativeArraySizeException1.yml	true	false	1.265991	1.278510062000123	52.121600
jbmc-regression/NegativeArraySizeException2.yml	true	false	1.263706	1.2766904600000544	52.330496
jbmc-regression/NullPointerException1.yml	true	true	1.580019	1.6019008819998817	52.436992
jbmc-regression/NullPointerException2.yml	true	false	1.583986	1.6009575749999385	52.690944
jbmc-regression/NullPointerException3.yml	true	false	1.228389	1.240315303999978	52.183040
jbmc-regression/NullPointerException4.yml	true	false	1.273431	1.2837098150000656	51.970048
jbmc-regression/RegexMatches01.yml	true	true	1.748927	1.7684983129997818	56.975360
jbmc-regression/RegexMatches02.yml	true	unknown	1.687795	1.7857234660000358	67.670016
jbmc-regression/RegexSubstitution01.yml	true	true	1.686385	1.6983704260001105	52.625408
jbmc-regression/RegexSubstitution02.yml	true	unknown	1.319709	1.3320590419998553	53.161984
jbmc-regression/RegexSubstitution03.yml	true	true	1.599652	1.6201209589999053	53.350400
jbmc-regression/StaticCharMethods01.yml	true	true	1.628274	1.6413491299999805	53.252096
jbmc-regression/StaticCharMethods02.yml	true	false	1.429224	1.452532230000088	65.208320
jbmc-regression/StaticCharMethods03.yml	true	false	1.461444	1.4841895449999356	63.377408
jbmc-regression/StaticCharMethods04.yml	true	false	1.293171	1.3152944099999786	53.334016
jbmc-regression/StaticCharMethods05.yml	false	unknown	1.315855	1.3278225010001279	53.248000
jbmc-regression/StaticCharMethods06.yml	true	true	1.738528	1.748733368000103	65.130496
jbmc-regression/StringBuilderAppend01.yml	true	true	1.675536	1.688305001000117	52.846592
jbmc-regression/StringBuilderAppend02.yml	true	unknown	1.409102	1.4203146049999305	53.723136
jbmc-regression/StringBuilderCapLen01.yml	true	true	1.307204	1.320643721999886	52.166656
jbmc-regression/StringBuilderCapLen02.yml	true	false	1.753441	1.7566372899998441	58.400768
jbmc-regression/StringBuilderCapLen03.yml	true	unknown	1.61853	1.6384171920001336	52.756480
jbmc-regression/StringBuilderCapLen04.yml	true	unknown	1.273159	1.2855415320000247	52.551680
jbmc-regression/StringBuilderChars01.yml	true	true	1.275291	1.2884222229999978	52.604928
jbmc-regression/StringBuilderChars02.yml	true	false	1.715711	1.7340339600000334	58.667008
jbmc-regression/StringBuilderChars03.yml	false	unknown	1.636024	1.6544293619999735	52.817920
jbmc-regression/StringBuilderChars04.yml	true	unknown	1.295856	1.2986572580000484	52.396032
jbmc-regression/StringBuilderChars05.yml	false	unknown	1.298563	1.3211258220001127	52.408320
jbmc-regression/StringBuilderChars06.yml	true	unknown	1.656955	1.6697008389999155	53.145600
jbmc-regression/StringBuilderConstructors01.yml	true	unknown	1.791849	1.8049355529999502	63.901696
jbmc-regression/StringBuilderConstructors02.yml	true	unknown	1.264735	1.2673642250001649	53.411840
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	1.355003	1.3640791870000157	55.214080
jbmc-regression/StringBuilderInsertDelete02.yml	true	unknown	1.38802	1.4104573489998984	54.419456
jbmc-regression/StringBuilderInsertDelete03.yml	true	unknown	1.329935	1.3436796470000445	51.998720
jbmc-regression/StringCompare01.yml	true	true	1.596867	1.6102584570001	52.523008
jbmc-regression/StringCompare02.yml	true	unknown	1.58906	1.6001308469999458	52.535296
jbmc-regression/StringCompare03.yml	true	unknown	1.314212	1.3233433789998799	54.140928
jbmc-regression/StringCompare04.yml	true	unknown	1.32654	1.347707506000006	53.317632
jbmc-regression/StringCompare05.yml	true	false	1.604705	1.6252584410001418	53.014528
jbmc-regression/StringConcatenation01.yml	true	true	1.83697	1.8408166020001318	59.060224
jbmc-regression/StringConcatenation02.yml	true	false	1.445225	1.4580830910001623	60.538880
jbmc-regression/StringConcatenation03.yml	true	false	1.459875	1.4703510490001008	58.064896
jbmc-regression/StringConcatenation04.yml	true	false	1.792962	1.8160183080001389	59.138048
jbmc-regression/StringConstructors01.yml	true	true	1.626036	1.629090835999932	53.362688
jbmc-regression/StringConstructors02.yml	true	false	1.498262	1.5205833009999878	58.380288
jbmc-regression/StringConstructors03.yml	true	false	1.394042	1.4067516630000227	58.384384
jbmc-regression/StringConstructors04.yml	true	false	1.778193	1.8010047919999579	58.433536
jbmc-regression/StringConstructors05.yml	true	false	1.782369	1.8078862579998258	61.755392
jbmc-regression/StringContains01.yml	true	false	1.4037	1.416746484999976	58.859520
jbmc-regression/StringContains02.yml	true	false	1.38889	1.401568641999802	59.973632
jbmc-regression/StringIndexMethods01.yml	true	true	1.687748	1.700646739000149	52.891648
jbmc-regression/StringIndexMethods02.yml	true	false	1.488768	1.5024666310000612	66.494464
jbmc-regression/StringIndexMethods03.yml	true	false	1.838831	1.8474910580000596	65.159168
jbmc-regression/StringIndexMethods04.yml	true	false	4.91479	4.925095646000045	81.866752
jbmc-regression/StringIndexMethods05.yml	true	false	1.502838	1.5155705540000781	64.778240
jbmc-regression/StringMiscellaneous01.yml	true	true	1.710414	1.7207105539998793	52.629504
jbmc-regression/StringMiscellaneous02.yml	true	false	1.799309	1.8146177199998874	65.007616
jbmc-regression/StringMiscellaneous03.yml	false	false	1.54811	1.5510640180000337	66.760704
jbmc-regression/StringMiscellaneous04.yml	true	true	1.65083	1.6736869639998986	52.879360
jbmc-regression/StringStartEnd01.yml	true	true	1.597542	1.6080487029998949	52.428800
jbmc-regression/StringStartEnd02.yml	true	false	1.50008	1.5197872430001098	61.784064
jbmc-regression/StringStartEnd03.yml	true	false	1.457517	1.4696740000001682	60.317696
jbmc-regression/StringValueOf01.yml	true	true	1.5991	1.6219665090000035	52.494336
jbmc-regression/StringValueOf02.yml	false	false	1.649125	1.6625680669999383	54.628352
jbmc-regression/StringValueOf03.yml	false	false	1.365497	1.3860202250000384	53.309440
