   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java.ReachSafety-Java, SV-COMP25_runtime-exception
date:                    Sat, 2025-05-31 19:12:19 IST
tool:                    SPF Saturday 31 May 2025 06:50:59 PM IST
tool executable:         ./jpf-sv-comp
options:
parallel runs:           8
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             1
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    ubuntu
os:                      Linux-6.8.0-60-generic-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 5 5600G with Radeon Graphics
- cores:                 12
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     29324.57472 MB
------------------------------------------------------------



SV-COMP25_assert_java.ReachSafety-Java
Run set 1 of 2 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       false                            2.09        2.11        None
jayhorn-recursive/Addition.yml                                                          true                             2.09        2.10        None
jayhorn-recursive/InfiniteLoop.yml                                                      false                            1.36        1.37        None
jayhorn-recursive/SatAckermann01.yml                                                    true                            10.89       10.90        None
jayhorn-recursive/SatAckermann02.yml                                                    true                            11.04       11.05        None
jayhorn-recursive/SatAckermann03.yml                                                    true                            11.13       11.14        None
jayhorn-recursive/SatAddition01.yml                                                     true                             2.11        2.12        None
jayhorn-recursive/SatEvenOdd01.yml                                                      true                             2.14        2.16        None
jayhorn-recursive/SatFibonacci01.yml                                                    true                             2.11        2.12        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             1.79        1.80        None
jayhorn-recursive/SatFibonacci03.yml                                                    true                             3.64        3.66        None
jayhorn-recursive/SatGcd.yml                                                            TIMEOUT                        900.90      901.00        None
jayhorn-recursive/SatHanoi01.yml                                                        true                             6.97        7.00        None
jayhorn-recursive/SatMccarthy91.yml                                                     true                            54.68       54.72        None
jayhorn-recursive/SatMultCommutative01.yml                                              true                             2.31        2.32        None
jayhorn-recursive/SatPrimes01.yml                                                       unknown                        466.58      466.79        None
jayhorn-recursive/UnsatAckermann01.yml                                                  false                            1.93        1.95        None
