   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java.ReachSafety-Java, SV-COMP25_runtime-exception
date:                    Thu, 2025-08-07 04:38:40 IST
tool:                    SPF Thursday 07 August 2025 02:48:16 AM IST
tool executable:         ./jpf-sv-comp
options:
parallel runs:           8
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             1
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    Desktop
os:                      Linux-6.8.0-65-generic-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 5 5600G with Radeon Graphics
- cores:                 12
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     29324.562432 MB
------------------------------------------------------------



SV-COMP25_assert_java.ReachSafety-Java
Run set 1 of 2 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       false                            2.66        2.66        None
jayhorn-recursive/Addition.yml                                                          true                             3.62        3.63        None
jayhorn-recursive/InfiniteLoop.yml                                                      false                            1.48        1.53        None
jayhorn-recursive/SatAckermann01.yml                                                    true                           247.38      249.07        None
jayhorn-recursive/SatAckermann02.yml                                                    true                           249.87      251.84        None
jayhorn-recursive/SatAckermann03.yml                                                    true                           247.71      249.44        None
jayhorn-recursive/SatAddition01.yml                                                     true                             3.85        3.86        None
jayhorn-recursive/SatEvenOdd01.yml                                                      unknown                          2.69        2.71        None
jayhorn-recursive/SatFibonacci01.yml                                                    true                            18.77       19.24        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             2.03        2.04        None
jayhorn-recursive/SatFibonacci03.yml                                                    true                            25.79       26.33        None
jayhorn-recursive/SatGcd.yml                                                            TIMEOUT                        901.02      902.13        None
jayhorn-recursive/SatHanoi01.yml                                                        true                           112.24      113.01        None
jayhorn-recursive/SatMccarthy91.yml                                                     true                           224.08      227.08        None
jayhorn-recursive/SatMultCommutative01.yml                                              true                             6.55        6.56        None
jayhorn-recursive/SatPrimes01.yml                                                       unknown                        137.41      138.17        None
jayhorn-recursive/UnsatAckermann01.yml                                                  false                            3.43        3.45        None
jayhorn-recursive/UnsatAddition01.yml                                                   false                            3.27        3.29        None
jayhorn-recursive/UnsatAddition02.yml                                                   true                             7.49        7.51        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    unknown                          2.81        2.84        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  false                            4.93        4.95        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  false                           12.06       12.18        None
jayhorn-recursive/UnsatMccarthy91.yml                                                   false                            3.27        3.29        None
jbmc-regression/ArithmeticException1.yml                                                false                            2.79        2.81        None
jbmc-regression/ArithmeticException5.yml                                                true                             2.37        2.39        None
jbmc-regression/ArithmeticException6.yml                                                false                            3.03        3.04        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                     unknown                          2.78        2.80        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                     unknown                          2.68        2.71        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                     unknown                          2.90        2.91        None
jbmc-regression/BufferedReaderReadLine.yml                                              false                            3.43        3.48        None
jbmc-regression/CharSequenceBug.yml                                                     false                            3.09        3.40        None
jbmc-regression/CharSequenceToString.yml                                                true                             3.20        3.32        None
jbmc-regression/ClassCastException1.yml                                                 false                            2.48        2.53        None
jbmc-regression/ClassCastException2.yml                                                 true                             2.54        2.58        None
jbmc-regression/ClassCastException3.yml                                                 false                            2.51        3.00        None
jbmc-regression/Class_method1.yml                                                       true                             2.58        2.61        None
jbmc-regression/Inheritance1.yml                                                        true                             2.55        2.57        None
jbmc-regression/NegativeArraySizeException1.yml                                         false                            2.53        2.54        None
jbmc-regression/NegativeArraySizeException2.yml                                         false                            2.78        2.80        None
jbmc-regression/NullPointerException1.yml                                               unknown                          2.42        2.47        None
jbmc-regression/NullPointerException2.yml                                               false                            2.32        2.33        None
jbmc-regression/NullPointerException3.yml                                               false                            2.37        2.38        None
jbmc-regression/NullPointerException4.yml                                               false                            2.44        2.45        None
jbmc-regression/RegexMatches01.yml                                                      true                             2.44        2.45        None
jbmc-regression/RegexMatches02.yml                                                      true                             2.42        2.44        None
jbmc-regression/RegexSubstitution01.yml                                                 true                             2.57        2.59        None
jbmc-regression/RegexSubstitution02.yml                                                 unknown                          2.42        2.43        None
jbmc-regression/RegexSubstitution03.yml                                                 true                             2.26        2.27        None
jbmc-regression/StaticCharMethods01.yml                                                 true                             2.19        2.21        None
jbmc-regression/StaticCharMethods02.yml                                                 false                            2.73        2.74        None
jbmc-regression/StaticCharMethods03.yml                                                 false                            2.81        2.83        None
jbmc-regression/StaticCharMethods04.yml                                                 false                            2.30        2.32        None
jbmc-regression/StaticCharMethods05.yml                                                 unknown                          2.52        2.54        None
jbmc-regression/StaticCharMethods06.yml                                                 true                             2.64        2.65        None
jbmc-regression/StringBuilderAppend01.yml                                               unknown                          2.67        2.69        None
jbmc-regression/StringBuilderAppend02.yml                                               unknown                          2.67        2.69        None
jbmc-regression/StringBuilderCapLen01.yml                                               true                             2.53        2.53        None
jbmc-regression/StringBuilderCapLen02.yml                                               false                            2.68        2.69        None
jbmc-regression/StringBuilderCapLen03.yml                                               unknown                          2.37        2.38        None
jbmc-regression/StringBuilderCapLen04.yml                                               unknown                          2.49        2.50        None
jbmc-regression/StringBuilderChars01.yml                                                true                             2.59        2.61        None
jbmc-regression/StringBuilderChars02.yml                                                false                            2.68        2.69        None
jbmc-regression/StringBuilderChars03.yml                                                unknown                          2.41        2.42        None
jbmc-regression/StringBuilderChars04.yml                                                unknown                          2.50        2.53        None
jbmc-regression/StringBuilderChars05.yml                                                unknown                          2.33        2.35        None
jbmc-regression/StringBuilderChars06.yml                                                unknown                          2.34        2.35        None
jbmc-regression/StringBuilderConstructors01.yml                                         unknown                          2.92        2.93        None
jbmc-regression/StringBuilderConstructors02.yml                                         unknown                          2.28        2.28        None
jbmc-regression/StringBuilderInsertDelete01.yml                                         true                             2.55        2.56        None
jbmc-regression/StringBuilderInsertDelete02.yml                                         unknown                          2.58        2.60        None
jbmc-regression/StringBuilderInsertDelete03.yml                                         unknown                          2.59        2.61        None
jbmc-regression/StringCompare01.yml                                                     true                             2.26        2.27        None
jbmc-regression/StringCompare02.yml                                                     unknown                          2.48        2.50        None
jbmc-regression/StringCompare03.yml                                                     unknown                          2.29        2.30        None
jbmc-regression/StringCompare04.yml                                                     unknown                          2.47        2.48        None
jbmc-regression/StringCompare05.yml                                                     false                            2.55        2.61        None
jbmc-regression/StringConcatenation01.yml                                               true                             2.75        2.76        None
jbmc-regression/StringConcatenation02.yml                                               false                            2.15        2.17        None
jbmc-regression/StringConcatenation03.yml                                               false                            2.57        2.58        None
jbmc-regression/StringConcatenation04.yml                                               false                            2.76        2.77        None
jbmc-regression/StringConstructors01.yml                                                true                             1.72        1.73        None
jbmc-regression/StringConstructors02.yml                                                false                            2.49        2.51        None
jbmc-regression/StringConstructors03.yml                                                false                            1.87        1.88        None
jbmc-regression/StringConstructors04.yml                                                false                            2.45        2.45        None
jbmc-regression/StringConstructors05.yml                                                false                            2.70        2.72        None
jbmc-regression/StringContains01.yml                                                    false                            2.09        2.10        None
jbmc-regression/StringContains02.yml                                                    false                            2.73        2.75        None
jbmc-regression/StringIndexMethods01.yml                                                true                             1.72        1.74        None
jbmc-regression/StringIndexMethods02.yml                                                false                            2.64        2.66        None
jbmc-regression/StringIndexMethods03.yml                                                unknown                          1.94        2.02        None
jbmc-regression/StringIndexMethods04.yml                                                TIMEOUT                        900.75      901.01        None
jbmc-regression/StringIndexMethods05.yml                                                unknown                          2.43        2.44        None
jbmc-regression/StringMiscellaneous01.yml                                               true                             1.82        1.83        None
jbmc-regression/StringMiscellaneous02.yml                                               false                            2.66        2.67        None
jbmc-regression/StringMiscellaneous03.yml                                               false                            2.34        2.35        None
jbmc-regression/StringMiscellaneous04.yml                                               true                             2.36        2.37        None
jbmc-regression/StringStartEnd01.yml                                                    true                             1.73        1.74        None
jbmc-regression/StringStartEnd02.yml                                                    false                            2.07        2.08        None
jbmc-regression/StringStartEnd03.yml                                                    false                            2.67        2.69        None
jbmc-regression/StringValueOf01.yml                                                     true                             1.60        1.61        None
jbmc-regression/StringValueOf02.yml                                                     false                            2.26        2.27        None
jbmc-regression/StringValueOf03.yml                                                     false                            1.76        1.77        None
jbmc-regression/StringValueOf04.yml                                                     false                            2.71        2.75        None
jbmc-regression/StringValueOf05.yml                                                     false                            2.45        2.47        None
jbmc-regression/StringValueOf06.yml                                                     false                            2.11        2.13        None
jbmc-regression/StringValueOf07.yml                                                     unknown                          2.29        2.31        None
jbmc-regression/StringValueOf08.yml                                                     unknown                          2.05        2.05        None
jbmc-regression/StringValueOf09.yml                                                     unknown                          2.49        2.50        None
jbmc-regression/StringValueOf10.yml                                                     false                            2.09        2.12        None
jbmc-regression/SubString01.yml                                                         true                             2.13        2.13        None
jbmc-regression/SubString02.yml                                                         false                            1.97        1.98        None
jbmc-regression/SubString03.yml                                                         false                            2.64        2.65        None
jbmc-regression/TokenTest01.yml                                                         true                             1.73        1.74        None
jbmc-regression/TokenTest02.yml                                                         unknown                          2.14        2.16        None
jbmc-regression/Validate01.yml                                                          true                             1.77        1.78        None
jbmc-regression/Validate02.yml                                                          unknown                          2.40        2.45        None
jbmc-regression/aastore_aaload1.yml                                                     unknown                          2.06        2.13        None
jbmc-regression/array1.yml                                                              unknown                          2.34        2.36        None
jbmc-regression/array2.yml                                                              true                             2.64        2.65        None
jbmc-regression/arraylength1.yml                                                        unknown                          2.15        2.16        None
jbmc-regression/arrayread1.yml                                                          unknown                          2.78        2.79        None
jbmc-regression/assert1.yml                                                             true                             1.94        1.96        None
jbmc-regression/assert2.yml                                                             false                            2.74        2.75        None
jbmc-regression/assert3.yml                                                             false                            2.24        2.26        None
jbmc-regression/assert4.yml                                                             false                            2.59        2.59        None
jbmc-regression/assert5.yml                                                             true                             2.16        2.17        None
jbmc-regression/assert6.yml                                                             true                             2.25        2.27        None
jbmc-regression/astore_aload1.yml                                                       true                             2.38        2.41        None
jbmc-regression/athrow1.yml                                                             false                            1.91        1.93        None
jbmc-regression/basic1.yml                                                              true                             2.18        2.20        None
jbmc-regression/bitwise1.yml                                                            unknown                          1.96        1.97        None
jbmc-regression/boolean1.yml                                                            true                             2.51        2.53        None
jbmc-regression/boolean2.yml                                                            true                             2.02        2.03        None
jbmc-regression/bug-test-gen-095.yml                                                    false                            2.65        2.66        None
jbmc-regression/bug-test-gen-119-2.yml                                                  true                             1.62        1.63        None
jbmc-regression/bug-test-gen-119.yml                                                    false                            2.62        2.63        None
jbmc-regression/calc.yml                                                                unknown                          2.04        2.05        None
jbmc-regression/cast1.yml                                                               unknown                          2.54        2.55        None
jbmc-regression/catch1.yml                                                              true                             1.62        1.65        None
jbmc-regression/char1.yml                                                               unknown                          2.60        2.61        None
jbmc-regression/charArray.yml                                                           unknown                          1.96        1.97        None
jbmc-regression/classtest1.yml                                                          true                             2.01        2.03        None
jbmc-regression/const1.yml                                                              true                             2.04        2.07        None
jbmc-regression/constructor1.yml                                                        true                             1.73        1.74        None
jbmc-regression/enum1.yml                                                               true                             2.08        2.09        None
jbmc-regression/exceptions1.yml                                                         false                            2.18        2.20        None
jbmc-regression/exceptions10.yml                                                        false                            1.66        1.68        None
jbmc-regression/exceptions11.yml                                                        false                            2.13        2.15        None
jbmc-regression/exceptions12.yml                                                        false                            1.70        1.72        None
jbmc-regression/exceptions13.yml                                                        false                            2.21        2.21        None
jbmc-regression/exceptions14.yml                                                        true                             2.01        2.02        None
jbmc-regression/exceptions15.yml                                                        true                             1.72        1.73        None
jbmc-regression/exceptions16.yml                                                        false                            2.23        2.24        None
jbmc-regression/exceptions18.yml                                                        true                             2.03        2.04        None
jbmc-regression/exceptions2.yml                                                         false                            1.72        1.74        None
jbmc-regression/exceptions3.yml                                                         false                            2.13        2.15        None
jbmc-regression/exceptions4.yml                                                         true                             2.09        2.11        None
jbmc-regression/exceptions5.yml                                                         true                             1.66        1.66        None
jbmc-regression/exceptions6.yml                                                         false                            2.08        2.08        None
jbmc-regression/exceptions7.yml                                                         false                            1.59        1.61        None
jbmc-regression/exceptions8.yml                                                         false                            1.94        1.96        None
jbmc-regression/exceptions9.yml                                                         true                             1.49        1.50        None
jbmc-regression/fcmpx_dcmpx1.yml                                                        true                             1.46        1.47        None
jbmc-regression/iarith1.yml                                                             true                             1.43        1.44        None
jbmc-regression/iarith2.yml                                                             true                             1.89        1.90        None
jbmc-regression/if_acmp1.yml                                                            true                             1.83        1.85        None
jbmc-regression/if_expr1.yml                                                            true                             1.92        1.95        None
jbmc-regression/if_icmp1.yml                                                            true                             2.14        2.15        None
jbmc-regression/ifxx1.yml                                                               true                             1.61        1.64        None
jbmc-regression/instanceof1.yml                                                         true                             1.56        1.59        None
jbmc-regression/instanceof2.yml                                                         true                             1.77        1.79        None
jbmc-regression/instanceof3.yml                                                         true                             1.79        1.84        None
jbmc-regression/instanceof4.yml                                                         true                             1.47        1.48        None
