tool		SPF Thursday 07 August 2025 02:48:16 AM IST	SPF Thursday 07 August 2025 02:48:16 AM IST	SPF Thursday 07 August 2025 02:48:16 AM IST	SPF Thursday 07 August 2025 02:48:16 AM IST
run set		SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jayhorn-recursive/Ackermann01.yml	true	unknown	2.979832	2.9903349460000754	123.404288
jayhorn-recursive/Addition.yml	true	true	3.614751	3.620101758000146	113.143808
jayhorn-recursive/InfiniteLoop.yml	true	unknown	1.500871	1.5353425960001914	103.079936
jayhorn-recursive/SatAckermann01.yml	true	true	262.172982	263.7186818959999	178.049024
jayhorn-recursive/SatAckermann02.yml	true	true	257.064022	258.70323973400036	171.094016
jayhorn-recursive/SatAckermann03.yml	true	true	266.252682	267.14684708000004	180.285440
jayhorn-recursive/SatAddition01.yml	true	true	4.247302	4.259764212999926	118.738944
jayhorn-recursive/SatEvenOdd01.yml	true	unknown	2.666279	2.6774984109997604	105.521152
jayhorn-recursive/SatFibonacci01.yml	true	true	16.099915	16.10705105399984	135.151616
jayhorn-recursive/SatFibonacci02.yml	true	true	2.244721	2.258516270999735	53.723136
jayhorn-recursive/SatFibonacci03.yml	true	true	24.585936	24.5946422410002	132.837376
jayhorn-recursive/SatGcd.yml	true	TIMEOUT	900.174629	901.005746882	163.602432
jayhorn-recursive/SatHanoi01.yml	true	true	115.813325	115.83833069999991	140.468224
jayhorn-recursive/SatMccarthy91.yml	true	true	223.877226	225.49695901199993	157.249536
jayhorn-recursive/SatMultCommutative01.yml	true	true	7.142157	7.156259273999694	132.190208
jayhorn-recursive/SatPrimes01.yml	true	unknown	182.932209	183.74828887499962	211.587072
jayhorn-recursive/UnsatAckermann01.yml	true	unknown	3.130293	3.134174570000141	103.403520
jayhorn-recursive/UnsatAddition01.yml	true	unknown	3.305457	3.3180665390000286	104.607744
jayhorn-recursive/UnsatAddition02.yml	true	true	7.590379	7.60451341199996	108.339200
jayhorn-recursive/UnsatEvenOdd01.yml	true	unknown	3.286963	3.2995981349999965	100.728832
jayhorn-recursive/UnsatFibonacci01.yml	true	unknown	4.663932	4.675990076000289	104.931328
jayhorn-recursive/UnsatFibonacci02.yml	true	unknown	13.403424	13.417683344000125	130.871296
jayhorn-recursive/UnsatMccarthy91.yml	true	unknown	3.24709	3.2596283089997087	101.236736
jbmc-regression/ArithmeticException1.yml	true	unknown	3.397554	3.4119195660000514	113.696768
jbmc-regression/ArithmeticException5.yml	true	true	2.518521	2.542175292000138	53.964800
jbmc-regression/ArithmeticException6.yml	true	unknown	3.087774	3.1009976010000173	101.527552
jbmc-regression/ArrayIndexOutOfBoundsException1.yml	true	unknown	3.007604	3.0118013279998195	100.249600
jbmc-regression/ArrayIndexOutOfBoundsException2.yml	true	unknown	3.369837	3.384572055999797	105.762816
jbmc-regression/ArrayIndexOutOfBoundsException3.yml	true	unknown	2.929856	2.9420527629999924	81.399808
jbmc-regression/BufferedReaderReadLine.yml	true	unknown	3.678795	3.6941906110000673	114.466816
jbmc-regression/CharSequenceBug.yml	true	unknown	3.158006	3.1686216110001624	103.096320
jbmc-regression/CharSequenceToString.yml	true	false	3.350297	3.3672615669997867	86.999040
jbmc-regression/ClassCastException1.yml	true	unknown	2.614129	2.6231153960002302	54.444032
jbmc-regression/ClassCastException2.yml	true	true	2.681582	2.7025312209998447	54.718464
jbmc-regression/ClassCastException3.yml	true	unknown	2.619528	2.6441473129998485	53.833728
jbmc-regression/Class_method1.yml	true	true	2.610741	2.6248972110001887	53.866496
jbmc-regression/Inheritance1.yml	true	true	2.604797	2.6298837170002116	53.780480
jbmc-regression/NegativeArraySizeException1.yml	true	unknown	2.604798	2.609473213000001	54.951936
jbmc-regression/NegativeArraySizeException2.yml	true	unknown	2.661443	2.6751384650001455	53.579776
jbmc-regression/NullPointerException1.yml	true	unknown	2.706736	2.7213556319998133	53.637120
jbmc-regression/NullPointerException2.yml	true	unknown	2.575072	2.594886595999924	55.730176
jbmc-regression/NullPointerException3.yml	true	unknown	2.572343	2.5826672339999277	53.932032
jbmc-regression/NullPointerException4.yml	true	unknown	2.535944	2.5592470500000672	53.399552
jbmc-regression/RegexMatches01.yml	true	true	2.537642	2.5516895179998755	53.137408
jbmc-regression/RegexMatches02.yml	true	true	2.476783	2.484310399000151	56.258560
jbmc-regression/RegexSubstitution01.yml	true	true	2.478055	2.490788375000193	57.790464
jbmc-regression/RegexSubstitution02.yml	true	unknown	2.578279	2.589876579000247	55.951360
jbmc-regression/RegexSubstitution03.yml	true	true	2.626915	2.6381593879996217	56.041472
jbmc-regression/StaticCharMethods01.yml	true	true	2.586245	2.6007254189999003	56.393728
jbmc-regression/StaticCharMethods02.yml	true	unknown	3.354074	3.3695982479998747	114.126848
jbmc-regression/StaticCharMethods03.yml	true	unknown	3.059547	3.0658562889998393	100.741120
jbmc-regression/StaticCharMethods04.yml	true	unknown	2.602634	2.617380088999653	57.204736
jbmc-regression/StaticCharMethods05.yml	false	unknown	2.690714	2.7151839590001146	56.119296
jbmc-regression/StaticCharMethods06.yml	true	true	2.902864	2.9092978640001093	100.700160
jbmc-regression/StringBuilderAppend01.yml	true	unknown	2.57984	2.6019777909996264	57.413632
jbmc-regression/StringBuilderAppend02.yml	true	unknown	2.415247	2.4288339069998983	55.914496
jbmc-regression/StringBuilderCapLen01.yml	true	true	2.574332	2.598289983000086	53.964800
jbmc-regression/StringBuilderCapLen02.yml	true	false	3.241441	3.2567848500002583	90.636288
jbmc-regression/StringBuilderCapLen03.yml	true	unknown	2.727299	2.748783860000003	54.886400
jbmc-regression/StringBuilderCapLen04.yml	true	unknown	2.646508	2.6609406090001357	53.989376
jbmc-regression/StringBuilderChars01.yml	true	true	2.59062	2.6039946390001205	53.338112
jbmc-regression/StringBuilderChars02.yml	true	false	3.010356	3.0216926799998873	81.330176
jbmc-regression/StringBuilderChars03.yml	false	unknown	2.461067	2.484920959000192	55.414784
jbmc-regression/StringBuilderChars04.yml	true	unknown	2.47027	2.48094752399993	54.099968
jbmc-regression/StringBuilderChars05.yml	false	unknown	2.477778	2.489563718000227	54.317056
jbmc-regression/StringBuilderChars06.yml	true	unknown	2.498445	2.5171739130000788	56.979456
jbmc-regression/StringBuilderConstructors01.yml	true	unknown	2.928696	2.9328105469999173	100.978688
jbmc-regression/StringBuilderConstructors02.yml	true	unknown	2.722036	2.7274559439997574	56.020992
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	2.685168	2.6942369140001574	59.777024
jbmc-regression/StringBuilderInsertDelete02.yml	true	unknown	2.723701	2.7365433230002054	53.469184
jbmc-regression/StringBuilderInsertDelete03.yml	true	unknown	2.746197	2.7597369869999966	57.499648
jbmc-regression/StringCompare01.yml	true	true	2.703638	2.7213681640000686	54.403072
jbmc-regression/StringCompare02.yml	true	unknown	2.582808	2.5972839570004	53.387264
jbmc-regression/StringCompare03.yml	true	unknown	2.576069	2.5795519869998316	56.987648
jbmc-regression/StringCompare04.yml	true	unknown	2.572194	2.5782457850000355	57.364480
jbmc-regression/StringCompare05.yml	true	unknown	2.504556	2.5083916040002805	57.851904
jbmc-regression/StringConcatenation01.yml	true	false	2.905094	2.919396809999853	80.773120
jbmc-regression/StringConcatenation02.yml	true	false	2.879973	2.883862906000104	80.883712
jbmc-regression/StringConcatenation03.yml	true	false	3.264475	3.279242049000004	90.824704
jbmc-regression/StringConcatenation04.yml	true	false	2.989518	3.003152825000143	81.039360
jbmc-regression/StringConstructors01.yml	true	true	2.533681	2.547564187000262	53.698560
jbmc-regression/StringConstructors02.yml	true	unknown	2.937463	2.95879062899985	80.891904
jbmc-regression/StringConstructors03.yml	true	unknown	2.944668	2.9593991960000494	80.867328
jbmc-regression/StringConstructors04.yml	true	unknown	3.172715	3.1826827810000395	91.246592
jbmc-regression/StringConstructors05.yml	true	unknown	3.014366	3.027051980000124	81.547264
jbmc-regression/StringContains01.yml	true	false	2.815462	2.825160318000144	80.805888
jbmc-regression/StringContains02.yml	true	false	3.28038	3.3003718879999724	93.413376
jbmc-regression/StringIndexMethods01.yml	true	true	2.744409	2.763822218000314	54.009856
jbmc-regression/StringIndexMethods02.yml	true	unknown	3.14974	3.1626718449997497	102.313984
jbmc-regression/StringIndexMethods03.yml	true	unknown	2.849159	2.859944268000163	97.353728
jbmc-regression/StringIndexMethods04.yml	true	TIMEOUT	900.288411	901.0054447719999	501.157888
jbmc-regression/StringIndexMethods05.yml	true	unknown	2.989474	2.996304059999602	99.246080
jbmc-regression/StringMiscellaneous01.yml	true	true	2.75294	2.8074635080001826	54.124544
jbmc-regression/StringMiscellaneous02.yml	true	unknown	2.875287	3.124129925000034	104.718336
jbmc-regression/StringMiscellaneous03.yml	false	unknown	2.87839	2.9246056770002724	102.305792
jbmc-regression/StringMiscellaneous04.yml	true	true	2.421613	2.4815146409996487	57.303040
jbmc-regression/StringStartEnd01.yml	true	true	2.210937	2.765219775999867	53.260288
jbmc-regression/StringStartEnd02.yml	true	false	2.965076	3.5872270990003017	80.035840
jbmc-regression/StringStartEnd03.yml	true	false	2.691544	2.845653219000269	80.723968
jbmc-regression/StringValueOf01.yml	true	true	2.234101	2.380629248000332	54.525952
jbmc-regression/StringValueOf02.yml	false	unknown	2.319197	2.405613517999882	56.107008
jbmc-regression/StringValueOf03.yml	false	unknown	2.171055	2.316022499000155	56.717312
