tool		SPF Saturday 31 May 2025 06:50:59 PM IST	SPF Saturday 31 May 2025 06:50:59 PM IST	SPF Saturday 31 May 2025 06:50:59 PM IST	SPF Saturday 31 May 2025 06:50:59 PM IST
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jayhorn-recursive/Ackermann01.yml	false	false	2.092896	2.109716638999089	88.195072
jayhorn-recursive/Addition.yml	true	true	2.087746	2.1006897589995788	79.880192
jayhorn-recursive/InfiniteLoop.yml	false	false	1.356204	1.369526737000342	78.487552
jayhorn-recursive/SatAckermann01.yml	true	true	10.890482	10.901921467999273	168.374272
jayhorn-recursive/SatAckermann02.yml	true	true	11.037643	11.052520549999826	153.681920
jayhorn-recursive/SatAckermann03.yml	true	true	11.126729	11.140980527001375	153.600000
jayhorn-recursive/SatAddition01.yml	true	true	2.113783	2.1227074680009537	81.842176
jayhorn-recursive/SatEvenOdd01.yml	true	true	2.139128	2.1576226800007134	88.834048
jayhorn-recursive/SatFibonacci01.yml	true	true	2.109135	2.1225413840002147	99.725312
jayhorn-recursive/SatFibonacci02.yml	true	true	1.786329	1.7993927460011037	53.415936
jayhorn-recursive/SatFibonacci03.yml	true	true	3.64292	3.6628779740003665	112.996352
jayhorn-recursive/SatGcd.yml	true	TIMEOUT	900.896413	901.0039291209996	177.934336
jayhorn-recursive/SatHanoi01.yml	true	true	6.972962	6.996124568000596	158.568448
jayhorn-recursive/SatMccarthy91.yml	true	true	54.678527	54.72492819699983	180.195328
jayhorn-recursive/SatMultCommutative01.yml	true	true	2.305779	2.3165802139992593	80.465920
jayhorn-recursive/SatPrimes01.yml	true	unknown	466.580759	466.78629862100024	221.511680
jayhorn-recursive/UnsatAckermann01.yml	false	false	1.934986	1.948372812999878	79.556608
jayhorn-recursive/UnsatAddition01.yml	false	false	1.975104	1.9961861230003706	80.138240
jayhorn-recursive/UnsatAddition02.yml	false	true	2.270843	2.2782868769991182	81.141760
jayhorn-recursive/UnsatEvenOdd01.yml	false	false	1.448355	1.4595512249998137	78.913536
jayhorn-recursive/UnsatFibonacci01.yml	false	false	2.054703	2.069325544000094	80.113664
jayhorn-recursive/UnsatFibonacci02.yml	false	false	2.001121	2.0154308379987924	94.670848
jayhorn-recursive/UnsatMccarthy91.yml	false	false	1.426463	1.4298733019986685	79.351808
jbmc-regression/ArithmeticException1.yml	false	false	2.079342	2.100361434999286	83.304448
jbmc-regression/ArithmeticException5.yml	true	true	1.37244	1.3897460490006779	54.788096
jbmc-regression/ArithmeticException6.yml	false	false	1.557141	1.5780445090003923	81.780736
jbmc-regression/ArrayIndexOutOfBoundsException1.yml	false	false	1.508896	1.5228285550001601	79.085568
jbmc-regression/ArrayIndexOutOfBoundsException2.yml	false	false	1.870072	1.8843142969999462	79.069184
jbmc-regression/ArrayIndexOutOfBoundsException3.yml	false	false	1.486207	1.5073717499999475	78.303232
jbmc-regression/BufferedReaderReadLine.yml	false	false	2.078836	2.0956483030004165	88.059904
jbmc-regression/CharSequenceBug.yml	false	false	1.534538	1.5477803180001501	88.264704
jbmc-regression/CharSequenceToString.yml	true	false	1.491688	1.5019935670006817	79.085568
jbmc-regression/ClassCastException1.yml	false	false	1.824802	1.83658601299976	53.518336
jbmc-regression/ClassCastException2.yml	true	true	1.494909	1.5089219179990323	53.940224
jbmc-regression/ClassCastException3.yml	false	false	1.54779	1.568049104000238	53.862400
jbmc-regression/Class_method1.yml	true	true	1.834846	1.8530329650002386	55.484416
jbmc-regression/Inheritance1.yml	true	true	1.503758	1.5066956280006707	53.493760
jbmc-regression/NegativeArraySizeException1.yml	false	false	1.788799	1.7994212039993727	54.001664
jbmc-regression/NegativeArraySizeException2.yml	false	false	1.424559	1.4394646090004244	54.939648
jbmc-regression/NullPointerException1.yml	true	true	1.435859	1.448826497000482	55.586816
jbmc-regression/NullPointerException2.yml	false	false	1.406598	1.4157309490001353	53.149696
jbmc-regression/NullPointerException3.yml	false	false	1.801992	1.8160695049991773	55.582720
jbmc-regression/NullPointerException4.yml	false	false	1.443104	1.4651233219992719	54.853632
jbmc-regression/RegexMatches01.yml	true	true	1.877968	1.8910603179992904	53.243904
jbmc-regression/RegexMatches02.yml	false	true	1.487267	1.5088446419995307	57.126912
jbmc-regression/RegexSubstitution01.yml	true	true	1.452871	1.473142580000058	56.913920
jbmc-regression/RegexSubstitution02.yml	false	unknown	1.915084	1.9388756530006503	54.853632
jbmc-regression/RegexSubstitution03.yml	true	true	1.456717	1.478958263000095	54.874112
jbmc-regression/StaticCharMethods01.yml	true	true	1.41506	1.4279449570003635	53.141504
jbmc-regression/StaticCharMethods02.yml	false	false	1.994174	2.0094798840000294	82.964480
jbmc-regression/StaticCharMethods03.yml	false	false	1.51914	1.5219805050001014	78.995456
jbmc-regression/StaticCharMethods04.yml	false	false	1.423178	1.4324057070007257	53.678080
jbmc-regression/StaticCharMethods05.yml	false	unknown	1.90257	1.9286430769989238	54.087680
jbmc-regression/StaticCharMethods06.yml	true	true	1.444056	1.4570475709988386	78.749696
jbmc-regression/StringBuilderAppend01.yml	true	true	1.456662	1.469012774001385	53.841920
jbmc-regression/StringBuilderAppend02.yml	false	unknown	2.030717	2.0464042669991613	62.083072
jbmc-regression/StringBuilderCapLen01.yml	true	true	1.441587	1.4542681029997766	53.305344
jbmc-regression/StringBuilderCapLen02.yml	false	false	1.508539	1.523415263998686	57.655296
jbmc-regression/StringBuilderCapLen03.yml	false	unknown	1.909235	1.9153214990001288	53.858304
jbmc-regression/StringBuilderCapLen04.yml	false	unknown	1.490177	1.50923251399945	55.144448
jbmc-regression/StringBuilderChars01.yml	true	true	1.594291	1.6073473129999911	53.936128
jbmc-regression/StringBuilderChars02.yml	false	false	1.939589	1.9538709770004061	55.025664
jbmc-regression/StringBuilderChars03.yml	false	unknown	1.581494	1.6021609800009173	57.442304
jbmc-regression/StringBuilderChars04.yml	false	unknown	1.587189	1.6070844320001925	54.448128
jbmc-regression/StringBuilderChars05.yml	false	unknown	1.903708	1.9149167289997422	55.230464
jbmc-regression/StringBuilderChars06.yml	false	unknown	1.454974	1.4775078789989493	54.095872
jbmc-regression/StringBuilderConstructors01.yml	true	unknown	1.526424	1.5297339310000098	79.429632
jbmc-regression/StringBuilderConstructors02.yml	false	unknown	1.908963	1.9316028100001859	55.238656
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	1.562117	1.5822092790003808	54.968320
jbmc-regression/StringBuilderInsertDelete02.yml	false	unknown	2.013328	2.025962862000597	55.324672
jbmc-regression/StringBuilderInsertDelete03.yml	false	unknown	1.575952	1.5855098859992722	54.665216
jbmc-regression/StringCompare01.yml	true	true	1.555875	1.5785351380000066	54.063104
jbmc-regression/StringCompare02.yml	false	unknown	1.858884	1.869087489998492	54.894592
jbmc-regression/StringCompare03.yml	false	unknown	1.488317	1.5066034510000463	53.444608
jbmc-regression/StringCompare04.yml	false	unknown	1.490065	1.5026151500005653	53.751808
jbmc-regression/StringCompare05.yml	false	false	1.975944	1.9894222309994802	53.702656
jbmc-regression/StringConcatenation01.yml	true	false	1.557884	1.5746057800006383	56.614912
jbmc-regression/StringConcatenation02.yml	false	false	1.601223	1.6142034330005117	54.190080
jbmc-regression/StringConcatenation03.yml	false	false	2.096323	2.1064549879993137	57.245696
jbmc-regression/StringConcatenation04.yml	false	false	1.59653	1.6191479619992606	54.439936
jbmc-regression/StringConstructors01.yml	true	true	1.483171	1.4955083790009667	56.389632
jbmc-regression/StringConstructors02.yml	false	false	1.995754	2.008890817000065	54.706176
jbmc-regression/StringConstructors03.yml	false	false	1.558432	1.5780547530011972	56.774656
jbmc-regression/StringConstructors04.yml	false	false	1.481658	1.4966560049997497	57.978880
jbmc-regression/StringConstructors05.yml	false	false	1.98484	2.004863636999289	70.193152
jbmc-regression/StringContains01.yml	false	false	1.535743	1.5584039889999985	54.923264
jbmc-regression/StringContains02.yml	false	false	1.518574	1.535034980999626	57.044992
jbmc-regression/StringIndexMethods01.yml	true	true	1.900431	1.909883512000306	53.370880
jbmc-regression/StringIndexMethods02.yml	false	false	1.482611	1.4957677279999189	80.224256
jbmc-regression/StringIndexMethods03.yml	false	false	1.554952	1.5659962610006914	78.098432
jbmc-regression/StringIndexMethods04.yml	false	false	2.069622	2.0875672080001095	91.242496
jbmc-regression/StringIndexMethods05.yml	false	false	1.540988	1.5534160030001658	91.983872
jbmc-regression/StringMiscellaneous01.yml	true	true	1.917573	1.93022611699962	55.373824
jbmc-regression/StringMiscellaneous02.yml	false	false	1.480158	1.5000393659993279	81.760256
jbmc-regression/StringMiscellaneous03.yml	false	false	1.514432	1.5336969630006934	89.010176
jbmc-regression/StringMiscellaneous04.yml	true	true	1.49206	1.4953956379995361	54.132736
